Date,Course,RaceNumber
12/10/2013,ST,8
12/10/2013,ST,9
12/10/2013,ST,10
16/10/2013,ST,1
16/10/2013,ST,2
16/10/2013,ST,3
16/10/2013,ST,4
16/10/2013,ST,5
16/10/2013,ST,6
16/10/2013,ST,7
16/10/2013,ST,8
20/10/2013,HV,1
20/10/2013,HV,2
20/10/2013,HV,3
20/10/2013,HV,4
20/10/2013,HV,5
20/10/2013,HV,6
20/10/2013,HV,7
20/10/2013,HV,8
20/10/2013,HV,9
20/10/2013,HV,10
23/10/2013,HV,1
23/10/2013,HV,2
23/10/2013,HV,3
23/10/2013,HV,4
23/10/2013,HV,5
23/10/2013,HV,6
23/10/2013,HV,7
23/10/2013,HV,8
27/10/2013,ST,1
27/10/2013,ST,2
27/10/2013,ST,3
27/10/2013,ST,4
27/10/2013,ST,5
27/10/2013,ST,6
27/10/2013,ST,7
27/10/2013,ST,8
27/10/2013,ST,9
27/10/2013,ST,10
30/10/2013,ST,1
30/10/2013,ST,2
30/10/2013,ST,3
30/10/2013,ST,4
30/10/2013,ST,5
30/10/2013,ST,6
30/10/2013,ST,7
30/10/2013,ST,8
03/11/2013,ST,1
03/11/2013,ST,2
03/11/2013,ST,3
03/11/2013,ST,4
03/11/2013,ST,5
03/11/2013,ST,6
03/11/2013,ST,7
03/11/2013,ST,8
03/11/2013,ST,9
03/11/2013,ST,10
03/11/2013,ST,11
06/11/2013,HV,1
06/11/2013,HV,2
06/11/2013,HV,3
06/11/2013,HV,4
06/11/2013,HV,5
06/11/2013,HV,6
06/11/2013,HV,7
06/11/2013,HV,8
09/11/2013,ST,1
09/11/2013,ST,2
09/11/2013,ST,3
09/11/2013,ST,4
09/11/2013,ST,5
09/11/2013,ST,6
09/11/2013,ST,7
09/11/2013,ST,8
09/11/2013,ST,9
09/11/2013,ST,10
13/11/2013,HV,1
13/11/2013,HV,2
13/11/2013,HV,3
13/11/2013,HV,4
13/11/2013,HV,5
13/11/2013,HV,6
13/11/2013,HV,7
13/11/2013,HV,8
17/11/2013,ST,1
17/11/2013,ST,2
17/11/2013,ST,3
17/11/2013,ST,4
17/11/2013,ST,5
17/11/2013,ST,6
17/11/2013,ST,7
17/11/2013,ST,8
17/11/2013,ST,9
17/11/2013,ST,10
17/11/2013,ST,11
20/11/2013,HV,1
20/11/2013,HV,2
20/11/2013,HV,3
20/11/2013,HV,4
20/11/2013,HV,5
20/11/2013,HV,6
20/11/2013,HV,7
20/11/2013,HV,8
24/11/2013,ST,1
24/11/2013,ST,2
24/11/2013,ST,3
24/11/2013,ST,4
24/11/2013,ST,5
24/11/2013,ST,6
24/11/2013,ST,7
24/11/2013,ST,8
24/11/2013,ST,9
24/11/2013,ST,10
27/11/2013,HV,1
27/11/2013,HV,2
27/11/2013,HV,3
27/11/2013,HV,4
27/11/2013,HV,5
27/11/2013,HV,6
27/11/2013,HV,7
27/11/2013,HV,8
01/12/2013,ST,1
01/12/2013,ST,2
01/12/2013,ST,3
01/12/2013,ST,4
01/12/2013,ST,5
01/12/2013,ST,6
01/12/2013,ST,7
01/12/2013,ST,8
01/12/2013,ST,9
01/12/2013,ST,10
01/12/2013,ST,11
04/12/2013,HV,1
04/12/2013,HV,2
04/12/2013,HV,3
04/12/2013,HV,4
04/12/2013,HV,5
04/12/2013,HV,6
04/12/2013,HV,7
04/12/2013,HV,8
04/12/2013,HV,9
08/12/2013,ST,1
08/12/2013,ST,2
08/12/2013,ST,3
08/12/2013,ST,4
08/12/2013,ST,5
08/12/2013,ST,6
08/12/2013,ST,7
08/12/2013,ST,8
08/12/2013,ST,9
08/12/2013,ST,10
11/12/2013,HV,1
11/12/2013,HV,2
11/12/2013,HV,3
11/12/2013,HV,4
11/12/2013,HV,5
11/12/2013,HV,6
11/12/2013,HV,7
11/12/2013,HV,8
15/12/2013,ST,1
15/12/2013,ST,2
15/12/2013,ST,3
15/12/2013,ST,4
15/12/2013,ST,5
15/12/2013,ST,6
15/12/2013,ST,7
15/12/2013,ST,8
15/12/2013,ST,9
15/12/2013,ST,10
18/12/2013,HV,1
18/12/2013,HV,2
18/12/2013,HV,3
18/12/2013,HV,4
18/12/2013,HV,5
18/12/2013,HV,6
18/12/2013,HV,7
18/12/2013,HV,8
21/12/2013,ST,1
21/12/2013,ST,2
21/12/2013,ST,3
21/12/2013,ST,4
21/12/2013,ST,5
21/12/2013,ST,6
21/12/2013,ST,7
21/12/2013,ST,8
21/12/2013,ST,9
21/12/2013,ST,10
26/12/2013,HV,1
26/12/2013,HV,2
26/12/2013,HV,3
26/12/2013,HV,4
26/12/2013,HV,5
26/12/2013,HV,6
26/12/2013,HV,7
26/12/2013,HV,8
29/12/2013,ST,1
29/12/2013,ST,2
29/12/2013,ST,3
29/12/2013,ST,4
29/12/2013,ST,5
29/12/2013,ST,6
29/12/2013,ST,7
29/12/2013,ST,8
29/12/2013,ST,9
29/12/2013,ST,10
29/12/2013,ST,11
01/01/2014,ST,1
01/01/2014,ST,2
01/01/2014,ST,3
01/01/2014,ST,4
01/01/2014,ST,5
01/01/2014,ST,6
01/01/2014,ST,7
01/01/2014,ST,8
01/01/2014,ST,9
01/01/2014,ST,10
01/01/2014,ST,11
05/01/2014,ST,1
05/01/2014,ST,2
05/01/2014,ST,3
05/01/2014,ST,4
05/01/2014,ST,5
05/01/2014,ST,6
05/01/2014,ST,7
05/01/2014,ST,8
05/01/2014,ST,9
05/01/2014,ST,10
08/01/2014,HV,1
08/01/2014,HV,2
08/01/2014,HV,3
08/01/2014,HV,4
08/01/2014,HV,5
08/01/2014,HV,6
08/01/2014,HV,7
08/01/2014,HV,8
11/01/2014,ST,1
11/01/2014,ST,2
11/01/2014,ST,3
11/01/2014,ST,4
11/01/2014,ST,5
11/01/2014,ST,6
11/01/2014,ST,7
11/01/2014,ST,8
11/01/2014,ST,9
11/01/2014,ST,10
15/01/2014,HV,1
15/01/2014,HV,2
15/01/2014,HV,3
15/01/2014,HV,4
15/01/2014,HV,5
15/01/2014,HV,6
15/01/2014,HV,7
15/01/2014,HV,8
19/01/2014,ST,1
19/01/2014,ST,2
19/01/2014,ST,3
19/01/2014,ST,4
19/01/2014,ST,5
19/01/2014,ST,6
19/01/2014,ST,7
19/01/2014,ST,8
19/01/2014,ST,9
19/01/2014,ST,10
22/01/2014,HV,1
22/01/2014,HV,2
22/01/2014,HV,3
22/01/2014,HV,4
22/01/2014,HV,5
22/01/2014,HV,6
22/01/2014,HV,7
22/01/2014,HV,8
26/01/2014,ST,1
26/01/2014,ST,2
26/01/2014,ST,3
26/01/2014,ST,4
26/01/2014,ST,5
26/01/2014,ST,6
26/01/2014,ST,7
26/01/2014,ST,8
26/01/2014,ST,9
26/01/2014,ST,10
02/02/2014,ST,1
02/02/2014,ST,2
02/02/2014,ST,3
02/02/2014,ST,4
02/02/2014,ST,5
02/02/2014,ST,6
02/02/2014,ST,7
02/02/2014,ST,8
02/02/2014,ST,9
02/02/2014,ST,10
02/02/2014,ST,11
05/02/2014,HV,1
05/02/2014,HV,2
05/02/2014,HV,3
05/02/2014,HV,4
05/02/2014,HV,5
05/02/2014,HV,6
05/02/2014,HV,7
05/02/2014,HV,8
05/02/2014,HV,9
08/02/2014,ST,1
