Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,Unnamed: 16,Unnamed: 17,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15,RACE 9 (0),RACE 9 (0).1,RACE 9 (0).2,RACE 9 (0).3,RACE 9 (0).4,RACE 9 (0).5,RACE 9 (0).6,RACE 9 (0).7,RACE 9 (0).8,RACE 9 (0).9,RACE 9 (0).10,RACE 9 (0).11,RACE 9 (0).12,RACE 9 (0).13,RACE 9 (0).14,RACE 9 (0).15,RACE 10 (0),RACE 10 (0).1,RACE 10 (0).2,RACE 10 (0).3,RACE 10 (0).4,RACE 10 (0).5,RACE 10 (0).6,RACE 10 (0).7,RACE 10 (0).8,RACE 10 (0).9,RACE 10 (0).10,RACE 10 (0).11,RACE 10 (0).12,RACE 10 (0).13,RACE 10 (0).14,RACE 10 (0).15
11,7.0,ISLAND GARDEN (P247),O Doleuze,C S Shum,123.0,1105,5,11,10 11 11,1:11.61,34.0,2013/04/28,ST,9,Class 3,1200M,80-60,GOOD,"TURF - ""A"" Course",24.20,47.08,1:09.84,,,,24.20,22.88,22.76,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3.0,ROYAL PARTNER (N394),C K Tong,C Fownes,126.0,1071,6,12,11 12 12,1:11.76,15.0,2013/04/28,ST,9,Class 3,1200M,80-60,GOOD,"TURF - ""A"" Course",24.20,47.08,1:09.84,,,,24.20,22.88,22.76,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14.0,LUCKY WARRIOR (M292),C Y Ho,B K Ng,114.0,1185,1,12-1/4,7 9 13,1:11.78,32.0,2013/04/28,ST,9,Class 3,1200M,80-60,GOOD,"TURF - ""A"" Course",24.20,47.08,1:09.84,,,,24.20,22.88,22.76,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11.0,ORIENTAL FANTASIA (P269),Y T Cheng,Y S Tsui,119.0,1033,11,13-3/4,12 14 14,1:12.05,99.0,2013/04/28,ST,9,Class 3,1200M,80-60,GOOD,"TURF - ""A"" Course",24.20,47.08,1:09.84,,,,24.20,22.88,22.76,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.0,MEDALLIST (N024),B Prebble,D J Hall,127.0,1140,4,-,4 5 6 6 1,1:49.34,7.8,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,LITTLE MEN (N441),D Whyte,J Size,133.0,1240,13,N,8 6 5 4 2,1:49.38,1.7,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7.0,GOLDEN SCALPEL (N224),K C Ng,K L Man,113.0,1057,8,1/2,1 2 2 3 3,1:49.45,21.0,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2.0,LEVEL PLAYER (N323),M Chadwick,A S Cruz,127.0,1080,10,1-1/4,10 10 7 8 4,1:49.54,16.0,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9.0,MALHECHOR GOLD (M358),Y T Cheng,T W Leung,118.0,1082,2,1-1/4,11 13 14 14 5,1:49.55,99.0,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13.0,COOL BEAN (N076),T Berry,D Cruz,116.0,1064,7,1-1/2,2 4 4 2 6,1:49.58,7.1,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10.0,PRECISION ERA (P006),W M Lai,C W Chang,118.0,1179,9,2-1/2,9 8 9 9 7,1:49.75,34.0,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.0,ENTHUSIASM (P127),A Suborics,D E Ferraris,124.0,1141,1,2-3/4,7 9 10 10 8,1:49.77,99.0,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14.0,OWNERS' GLORY (CL391),C Y Ho,C S Shum,113.0,1035,6,2-3/4,14 14 11 13 9,1:49.78,99.0,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11.0,RIO WILLIE (N087),K C Leung,R Gibson,116.0,1133,3,7-3/4,3 7 8 7 10,1:50.56,19.0,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12.0,WIN ALONG (P003),M L Yeung,A Lee,115.0,1131,5,7-3/4,13 12 13 12 11,1:50.59,41.0,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6.0,ENGROSSING (P186),R Fourie,A T Millard,122.0,1051,11,8,12 11 12 11 12,1:50.61,8.5,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8.0,VERDANE (P184),W C Marwing,J Moore,118.0,1057,14,9-1/2,6 1 1 1 13,1:50.87,99.0,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3.0,OXFORD CHARLEY (P266),Z Purton,S Woods,129.0,1058,12,15-1/4,5 3 3 5 14,1:51.77,60.0,2013/04/28,ST,10,Class 3,1800M,80-60,GOOD,"TURF - ""A"" Course",13.80,36.14,1:00.55,1:25.58,1:49.34,,13.80,22.34,24.41,25.03,23.76,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,ART OF SUCCESS (P231),M L Yeung,K W Lui,127.0,1108,9,-,7 3 1,0:57.06,19.0,2013/05/01,ST,1,Griffin Race,1000M,,GOOD,"TURF - ""C+3"" Course",13.53,34.56,57.06,,,,13.53,21.03,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9.0,BECAUSE OF YOU (P150),Z Purton,P F Yiu,120.0,1129,10,N,1 1 2,0:57.11,6.4,2013/05/01,ST,1,Griffin Race,1000M,,GOOD,"TURF - ""C+3"" Course",13.53,34.56,57.06,,,,13.53,21.03,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7.0,YOU READ MY MIND (P041),T Berry,D Cruz,129.0,1179,5,1-3/4,4 5 3,0:57.35,8.0,2013/05/01,ST,1,Griffin Race,1000M,,GOOD,"TURF - ""C+3"" Course",13.53,34.56,57.06,,,,13.53,21.03,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,GOLDEN DEER (P121),T H So,B K Ng,126.0,1067,7,2-1/4,3 4 4,0:57.40,20.0,2013/05/01,ST,1,Griffin Race,1000M,,GOOD,"TURF - ""C+3"" Course",13.53,34.56,57.06,,,,13.53,21.03,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8.0,KYNAM (P213),D Whyte,J Moore,127.0,1114,2,3-1/4,9 7 5,0:57.57,1.5,2013/05/01,ST,1,Griffin Race,1000M,,GOOD,"TURF - ""C+3"" Course",13.53,34.56,57.06,,,,13.53,21.03,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0,AMBITIOUS KING (P242),R Fourie,A T Millard,129.0,1146,8,3-1/2,5 2 6,0:57.62,8.5,2013/05/01,ST,1,Griffin Race,1000M,,GOOD,"TURF - ""C+3"" Course",13.53,34.56,57.06,,,,13.53,21.03,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5.0,LUCKY BONUS (P042),O Doleuze,C S Shum,129.0,1102,4,5-3/4,8 9 7,0:57.96,68.0,2013/05/01,ST,1,Griffin Race,1000M,,GOOD,"TURF - ""C+3"" Course",13.53,34.56,57.06,,,,13.53,21.03,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6.0,PERFECT CHARMING (P235),K C Ng,C H Yip,122.0,1100,1,6-1/4,10 10 8,0:58.08,97.0,2013/05/01,ST,1,Griffin Race,1000M,,GOOD,"TURF - ""C+3"" Course",13.53,34.56,57.06,,,,13.53,21.03,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3.0,CRIMSON HEART (P237),A Suborics,A T Millard,129.0,1120,3,6-1/2,6 8 9,0:58.10,36.0,2013/05/01,ST,1,Griffin Race,1000M,,GOOD,"TURF - ""C+3"" Course",13.53,34.56,57.06,,,,13.53,21.03,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,WINNER'S DELIGHT (P290),T Angland,C S Shum,120.0,1083,6,13-3/4,2 6 10,0:59.25,99.0,2013/05/01,ST,1,Griffin Race,1000M,,GOOD,"TURF - ""C+3"" Course",13.53,34.56,57.06,,,,13.53,21.03,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.0,CITY OF LIGHTS (N161),C Y Lui,C Fownes,122.0,1045,12,-,2 2 1,0:57.95,5.2,2013/05/01,ST,2,Class 5,1000M,40-15,GOOD,"TURF - ""C+3"" Course",13.58,34.83,57.95,,,,13.58,21.25,23.12,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14.0,BARCELONA TOO (N093),M Chadwick,D E Ferraris,111.0,1016,14,1-3/4,1 1 2,0:58.22,18.0,2013/05/01,ST,2,Class 5,1000M,40-15,GOOD,"TURF - ""C+3"" Course",13.58,34.83,57.95,,,,13.58,21.25,23.12,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,HAPPY GOAL (N213),C K Tong,L Ho,131.0,1064,10,2-1/2,4 6 3,0:58.35,21.0,2013/05/01,ST,2,Class 5,1000M,40-15,GOOD,"TURF - ""C+3"" Course",13.58,34.83,57.95,,,,13.58,21.25,23.12,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.0,MEGA (N243),T Berry,D Cruz,131.0,1140,11,2-1/2,13 8 4,0:58.36,26.0,2013/05/01,ST,2,Class 5,1000M,40-15,GOOD,"TURF - ""C+3"" Course",13.58,34.83,57.95,,,,13.58,21.25,23.12,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,PILLOWIN (CL357),A Suborics,A T Millard,131.0,1267,13,2-3/4,9 5 5,0:58.37,17.0,2013/05/01,ST,2,Class 5,1000M,40-15,GOOD,"TURF - ""C+3"" Course",13.58,34.83,57.95,,,,13.58,21.25,23.12,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.0,SPICY SHRIMP (CL067),T H So,B K Ng,128.0,1108,5,2-3/4,7 10 6,0:58.39,5.9,2013/05/01,ST,2,Class 5,1000M,40-15,GOOD,"TURF - ""C+3"" Course",13.58,34.83,57.95,,,,13.58,21.25,23.12,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4.0,JUST FOLLOW ME (N198),M L Yeung,A Lee,130.0,1106,8,3,3 4 7,0:58.44,75.0,2013/05/01,ST,2,Class 5,1000M,40-15,GOOD,"TURF - ""C+3"" Course",13.58,34.83,57.95,,,,13.58,21.25,23.12,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,TREASURE MAN (N347),K C Leung,K L Man,126.0,1154,4,3-1/4,12 9 8,0:58.47,27.0,2013/05/01,ST,2,Class 5,1000M,40-15,GOOD,"TURF - ""C+3"" Course",13.58,34.83,57.95,,,,13.58,21.25,23.12,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0,DIAMOND KNIGHT (CK311),C Y Ho,S Woods,130.0,1167,6,3-1/4,10 3 9,0:58.47,6.7,2013/05/01,ST,2,Class 5,1000M,40-15,GOOD,"TURF - ""C+3"" Course",13.58,34.83,57.95,,,,13.58,21.25,23.12,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12.0,YOUNG HAPPY (M305),R Fourie,T W Leung,123.0,1055,7,3-1/4,11 12 10,0:58.49,16.0,2013/05/01,ST,2,Class 5,1000M,40-15,GOOD,"TURF - ""C+3"" Course",13.58,34.83,57.95,,,,13.58,21.25,23.12,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
