Target Feature,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Date Begin,Date End,Trailing Days
P-C Boudot,-0.5217564544359933,-0.38165595861432006,0.4999818592451336,1.1198875618791249,0.3947532333626235,-0.04313232020167267,-0.41532696555694554,-0.30624771626280073,1.2101881199124325,1.2333866596870264,0.6628921784982579,-0.7251529200901533,2.728509403591709,1.3673038625604483,-0.4289566432383641,-0.054272314583111304,0.25175685584052837,-1.1017459884627387,-0.6933697604877506,-0.9579638276771901,0.16419950392435304,-0.7245598244234809,0.696729979954723,-1.6173799830902524,-0.36109070868999915,1.1020075176155402,-0.6227273110171838,1.4063478304769819,-0.906439579651594,0.6868197417157553,-0.2689582853758399,0.3417525146914714,0.6171527013459781,0.1374728723645767,-0.3981822319147643,-0.1547414380371747,-0.08545507867266662,0.8381907484485731,0.18367314174477534,0.1817539664612262,-0.38978587214554455,0.04449149306397414,-0.3869634367250133,0.3335540740643155,0.8809145809741674,-0.8721395548418315,-1.58216071596039,-0.3933597396918573,0.04152082540651217,0.92615887643415,2025-05-21,2015-07-13,3600
J Spencer,1.1307968772571177,0.7428771781593178,1.4940839787277462,-1.3387120322215809,0.6661249557999102,0.26371299157658123,-0.041794903037096626,0.2966222279811643,0.7512197471419171,1.1935567105685982,-0.047772156546838376,0.5311773821815324,0.7724545901418027,0.25534677824034957,-0.7403005179029486,0.05289567455935256,0.6868969075662278,0.7806642105827056,-0.4533663920834333,-0.04558797870081228,0.25194943958519117,0.8995943306042269,0.39587222166749786,0.507582272983366,-0.45872455845217247,-1.3805847561029376,1.092182328606296,-0.918747410593625,-1.010357158446953,-1.650075754957337,1.366174793547424,-0.7702278124168755,0.25187015196685436,2.248823827370146,-0.5562848095436933,0.48138566991586595,0.2326035333999283,-0.09071302344114637,0.4584313695394481,-1.5541682191222974,0.007746618558162382,0.9494187238027161,-0.06158132064482725,0.7912549893722832,0.2453762574475797,0.6371252038860162,-1.9131688015794464,-0.912508003065165,1.5943975718824321,0.9773582980074305,2025-05-21,2015-07-13,3600
J Melham,-1.4325796946155105,0.12344280644707833,-0.432111670983551,-0.05569172445014179,-0.12046155136363439,0.4928020917601408,0.9908504208497345,1.2396194370997224,-1.6580762398840159,0.2040276083200948,-1.4766964483794247,0.4725324025379463,-0.29474310817317645,0.041110805756600456,-0.09142520237121807,0.10546771560526307,0.10093679275449191,-1.8155201489877384,0.3978109583998018,-0.5533049387883665,-0.7159141468835196,-0.5520237249180346,0.21890172305130212,1.070653327641917,1.0481808467585658,0.6143396935744834,-0.39480168729930654,1.0299824458567495,0.36892778568830176,0.435064605509883,-0.12686257060186282,0.7843847267644897,0.32309667784545526,0.6179416994405404,0.4481238877852362,-0.39382682923127976,-0.6531684718176723,0.05691753099935726,-0.062435517242743564,-0.22341750151549775,1.0605948199254516,-0.6262516462821234,-0.9601947136260683,-0.4275626134714529,-0.5430545109927648,-0.9943773908848377,-0.19437941157704527,0.21538230905178662,-0.5868115669524557,0.5469421599434502,2025-05-21,2015-07-13,3600
L Hewitson,0.7961622718410741,-0.9404639969033262,-0.6669463925485521,-1.150096561093554,0.04780670316843845,-0.18781646482199776,-0.17129602288611515,-0.3346863556522744,0.3384994145974456,0.6363971780401891,1.0528180799567624,-0.9420991517904617,0.761452380668309,-0.04598995697239175,0.198275466992181,-0.22005416141070736,0.3085291073873024,-0.7108663462252323,0.07487212065217774,-0.0411213443388923,-0.9808389319746126,0.10988555769496572,-0.3602916314461218,-0.5287440595443451,-0.19367288106542824,-0.9295815514273377,-0.6543678143663482,1.0792382199339192,-0.2882243192392565,-0.5719015332639741,-0.3776252403447995,0.12741627745251677,0.5508076870570595,0.00906998617403035,-0.14769121197177454,0.11490691853129878,-0.16921899226233447,-0.5486025598350542,0.313967852020892,-0.20461856818376492,0.2630496728924384,-0.5025062970118698,0.053184858195529795,0.3444304225647733,0.6568772213739967,-1.1321853284031465,0.16892744135729543,0.5094829247998062,-0.41494446793233514,-0.04340196209242179,2025-05-21,2015-07-13,3600
H N Wong,0.26857219315722786,0.5253032476856098,-0.015157310858429193,-0.3761428094817429,0.4442650372947983,-0.17258822067978882,0.44518073714109974,1.104550701816251,0.7551071646174731,-0.7292343915050471,-0.08517266875248149,0.44550093340071417,0.6195878628308988,-0.6357514028335812,-0.19442158702306142,-0.9662817355104576,0.4637391287376919,1.0200649546464446,0.2601952856736186,0.3612724805282749,-0.16179594028342043,0.3920046508237089,-0.6172937811847569,0.49169384596675025,0.05661490440824891,0.3612805385357741,-0.455516415741146,0.7938884833899539,-1.014161489166592,0.29555679177543576,-0.5767797155124537,0.16119103435297152,0.5009286405448562,-0.5025647457760024,0.4915926651587068,0.2873148476925324,-0.7208538283632779,-0.23991135814023518,-0.20694569427022647,0.8032662701048018,0.23801884377461063,-0.8412981121659809,-0.12748967879436052,0.362127301994199,0.25657648721004056,0.9985038887037254,-0.23967586733953836,-0.15550479418564414,0.13719913796363054,-0.29843584957526537,2025-05-21,2015-07-13,3600
C L Chau,0.9866927443227765,-0.7959079574346585,1.2332392818523161,-0.725866962797631,1.7702528180096688,1.058695857470211,0.0817890571544901,-0.7776133015022024,1.1456116666984888,-0.41683071968525215,-0.18775018415137887,0.27104475973370035,-0.6383165626354438,-0.053094655362286136,-0.5474591616229437,-0.09124450330384065,0.09252117578211515,0.984693382115613,0.9556548041758121,-0.914941229496949,0.8009211820918111,-0.8891050640173696,0.4021481868072786,0.40152706494347706,-0.9107615687984475,0.15261847299928163,-0.22146398510590445,0.07480049230623217,-1.4270619004570906,0.13583767755513834,1.2381856421716124,0.8097113485567738,0.5153659172620234,1.775605596012144,-0.26218819042285,0.2520840802620609,0.31768581960190384,0.6178811178867033,0.11174306665405878,-1.1615876537446086,1.4116513333735834,0.3364650011947883,-1.0641586639211926,-0.13617723988801922,-0.9495340147490409,-0.6475810499997895,0.15705289002674827,-0.3143285380515733,0.6302976773282664,0.526296306111418,2025-05-21,2015-07-13,3600
R Bayliss,0.5467040169971643,-0.17026305179934195,-1.8925003771361169,-0.5032486523618425,-0.19525864504538357,-1.0406677795265162,-0.25267307887241813,0.38560262662624445,-0.9499647399707819,0.4370055426082035,-0.7633162423965872,0.15980044954281514,-0.6584159741081378,1.1411113117781762,0.9479706116229147,0.5584838099322328,-1.8812704026071616,-0.8850196053855965,0.505564676413162,-1.0258901688657613,0.4322185761104771,0.455547179356779,-0.4339995078695746,-1.0598851274622998,-0.09040699889567232,2.254142968953789,-0.5456614145376707,0.3982618740238681,-0.05993044512874261,1.0205868923899353,-0.9181668903971499,-0.21277327464351053,-1.105755334558997,-0.7076473584275476,-1.5712678220275904,1.3654154187062137,0.3506970349422495,-0.13485500293617556,1.3457821326690187,0.2829144324149545,-0.04058858993684095,-0.30945723435700545,-1.111243715068705,-1.1963969487099326,0.8157956541350758,1.7909663129663445,-1.063972262513207,1.6199678816562388,0.199765127715077,-1.2087036271923957,2025-05-21,2015-07-13,3600
O Orr,-1.066636633812485,0.2679787163379873,-2.232154291329175,0.2900118090793744,0.01650120559934712,0.9525040438379523,-0.08202871539761519,-1.3096959179752539,0.4318158609000101,0.1734640115071605,1.0119699735869638,-1.5239831417243483,-0.2557743518624892,-0.5594860497814159,0.42064167029344135,0.41053961653820403,-1.1410629866456738,0.4924394600122708,0.2408587572632388,-1.3217657638283273,0.7568043817566285,0.1078118159449213,-1.0307465186973828,-0.7544440092247292,0.04691999613931621,-0.8469432141637357,-1.0069401505965345,0.42448412125086843,-1.3025852201864772,0.5031061329637004,0.48412600080793006,0.7936547619236638,0.20141520803683294,1.6927623329728916,-0.9731828075167693,-2.3258098038177235,-1.887242754801531,0.6056163667924452,-0.04108869984456164,0.21289969193944575,-0.5195778997255543,0.5627418228587195,0.150595506667479,0.6200683241608623,-0.24768345304454237,-0.49111208352511104,0.25865984606662407,-1.385566147081529,-0.2839569230411105,-1.0458856432938206,2025-05-21,2015-07-13,3600
C Lemaire,-0.02446523956805173,0.36747520962370306,-0.23010744540311565,0.31346367776731576,-0.3661957170136018,-0.3056706850865548,0.07431796255386866,-0.7295774431308159,0.3480526926976536,-0.6808447324189809,-0.0010640290219679689,0.1188204284310282,-0.045381227733055245,0.29937073963265554,1.4694079872900914,1.1785526478762358,-1.5985561340693857,0.4396813971608283,-0.02462645450554717,1.9749246118011514,0.5671151535523462,0.878525973954745,0.20430949128200818,0.49796339693230807,-0.42359539551820863,0.46228395233190017,-0.8827939741964765,1.0251766689283706,-0.6267153004122666,1.5993537768180857,-1.836315727502878,1.6833196650823512,0.028846643404492316,0.8130779160097406,-0.3940460038189785,-0.11521235771201098,0.7619241915121447,0.06551201897978508,1.4872351565513184,-0.2893215766382009,-0.8755936503515346,0.9216394224059548,0.11924032750873549,-0.9841249590624028,0.7631815395488862,-0.2761632362124883,0.28159906705746557,-0.5743311315611517,0.014740905826456386,0.11081098132594674,2025-05-21,2015-07-13,3600
U Rispoli,0.1390686063764446,0.9244110162599,0.5312047508133114,-0.12756931099755664,-0.006488126520263371,0.7685370344318123,-0.2720571575401095,0.7296611262161924,0.06080945430177736,-0.31236437473571826,-0.6660416929849764,-0.07006846717467656,-1.0027028292340743,-0.3890122820017749,-0.804964861118097,0.3937983440358339,-0.36006547047396226,-0.9077126125552084,-0.2667894067061566,0.07248803771424311,-1.2169519873724641,-0.5466122384797719,0.831740046404743,-0.08018584584360602,-0.04563025810959064,0.10033048554712723,-0.43059957398425036,0.26913152000430274,0.15594333194782067,-0.5464752708619486,-1.020965636221502,0.37737273633078744,0.5894569618686906,-0.5340840204373286,-0.9130212312525162,0.07318946396520128,-1.0232055204011654,0.23902800371606042,-0.4186586162393188,0.8050464011090797,0.05266095220030907,0.5709635222449907,0.09418695199227607,-0.5537160649373993,-0.5478985508451019,-0.8926618852245553,-0.8572305658541528,0.10608200624155359,0.7621239074422318,0.27176350112138015,2025-05-21,2015-07-13,3600
