Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
11,5,CATCHMEIFYOUCAN  (A026),R Moore,--,"Crowded out start, dropping back, then crowded again passing 600m, dropping to rear between horses. Found nothing in straight when asked.",2016-12-07,4
12,6,HORSE SUPREMO  (S055),K Tosaki,BO/TT,Pressed forward to race three-quarter length outside leader. Kept on well around turn and early straight but ran out of steam 200m and gave ground quickly.,2016-12-07,4
1,6,GIANT TURTLE  (T391),R Moore,TT,"Began well, rolled forward, grabbing box seat and tracking leader. Got clear run on straightening, hit front 200m, finished strongly.",2016-12-07,5
2,9,CASA MASTER  (T160),D Whyte,B/TT,"Broke well but eased out of pace battle, settling along rail 4L from leader. Came off fence 400m to make run but force to switch in 250m, then crowded 200m. Finished off well.",2016-12-07,5
3,1,GOOD CHOICE  (P423),J Moreira,XB,"No early toe, dropping towards rear along rail. Improved position around turn, switched out straight and ran on solidly.",2016-12-07,5
4,12,IMPERIAL SEAL  (T223),M Barzalona,H,"Bumped start, pushed forward but raced keenly, settling one-off 3L from leader. Left wide without cover from 700m but kept on gamely without looking dangerous.",2016-12-07,5
5,10,WINNINGLI  (V377),K Tosaki,CP/TT,"Pressed forward to lead on settling, then set steady sections to straight. Collared passing 200m and swamped final stages.",2016-12-07,5
6,11,CASH COURIER  (S417),K C Leung,B,"Jumped well, steadied and shifted across behind runners from outside draw, settling at rear. Took inside run in straight and ran on steadily.",2016-12-07,5
7,5,HAPPY AND HEALTHY  (T056),G Lerena,B/TT,"Got off OK, no early speed, settling at rear in one-off position. Shifted in early straight to get run and ran on fairly.",2016-12-07,5
8,8,TRUE COMMENT  (S328),Z Purton,CP/TT,"Ridden along to obtain forward position, taking first turn very wide before settling one-off, 4L from leader. Under pressure top of straight and only one-paced.",2016-12-07,5
9,2,TEAM SWEET  (V089),P Smullen,XB-/H,"Hampered start, pressed forward taking first turn wide and losing position, dropping to rear. Took home turn 3-wide and one-paced in straight.",2016-12-07,5
10,4,SPARKLING SWORD  (P256),F Geroux,H/TT,"Pressed forward from an outside draw, taking first turn very wide before settling outside hindquarters of leader back stretch. Under pressure soon after straightening and faded.",2016-12-07,5
11,3,BEST TANGO  (S121),M Demuro,B/TT,"Hampered start, pressed forward but wide, settling in midfield in one-off position. Started to give ground around home turn and plodded home in straight.",2016-12-07,5
12,7,MONEY MAN  (V227),H Bowman,B/H/TT,"Outpaced, dropping to rear along rail. Hard ridden around home turn but spent force passing 200m and faded, finishing tailed out. Unacceptable performance.",2016-12-07,5
1,1,WONDERFUL FIGHTER  (S422),J Moreira,--,"Ridden forward and raced prominently, 1/2L off 2 wide, kept going to the line and scored by 1-3/4L.",2016-12-07,6
2,7,VERY RICH MAN  (V286),M Barzalona,XB1,"Rolled forward and led by a nose along the rail, headed passing 200M, just held onto 2nd.",2016-12-07,6
3,11,UNIQUE JOYFUL  (S241),S De Sousa,V/TT,"Travelled in midfield, 2L behind 2 wide, ran on well from 150M and hit the line strongly for 3rd.",2016-12-07,6
4,6,KIROV  (S277),B Prebble,TT,"Raced in front of midfield, 2L off and left 3 wide without cover after 700M, kept on one paced to the line.",2016-12-07,6
5,3,COUR VALANT  (P190),K C Leung,XB/TT,"Eased back and raced 5-1/4L behind the lead along the rail, made good ground and finished off nicely.",2016-12-07,6
6,12,SMART SALUTE  (V117),M Chadwick,B,"Settled in worse than midfield, 4L behind 3 wide with cover, improved rounding turn, one paced in the Straight.",2016-12-07,6
7,2,BREEDERS' STAR  (V197),G Lerena,H,"Pushed forward and sat outside the lead, kept on early in the Straight but no extra inside 100M.",2016-12-07,6
8,4,JUNZI  (V274),N Callan,--,"Taken back and raced towards the rear, 4-3/4L behind 2 wide, made minor ground in the Straight.",2016-12-07,6
9,10,VICTOR EMPEROR  (S425),T H So,TT,"Travelled in behind midfield, 3-1/2L behind along the rail, made little progress only.",2016-12-07,6
10,8,HAPPY GAINS  (V252),K Teetan,B,"Raced in worse than midfield, 3-1/2L behind 2 wide, not competitive.",2016-12-07,6
11,9,HAYMAKER  (T054),M L Yeung,TT,"Took box-seat, sat 1-3/4L off the lead, crowded and checked at 600M, dropped off gradually in the Straight.",2016-12-07,6
1,12,MUTUAL JOY  (T282),M Demuro,H/B1,"Broke well but eased back, dropping to last passing 1200m. Shaken up 450m, given reminder 400m circled friend turning for home, taken to centre track and finished powerfully to win on the line.",2016-12-07,7
2,1,KIRAM  (T093),H Bowman,--,"Got off well, allowed to roll forward at own speed, settling in box seat 3L from leader 1300m. Came off fence turning for home, got clear run, hit front 200m, run down on line.",2016-12-07,7
3,2,WORKS OF ART  (V212),F Geroux,H,"Began OK but didn't muster despite vigorous riding, dropping 3-deep towards rear. Put under pressrun turning for home, very wide in straight, finished strongly.",2016-12-07,7
3,4,MIDNITE PROMISE  (S379),R Moore,B,"Broke well, rolled forward, settling one-off 3L from leader back stretch. Put under pressure turning foursome, 4-wide into straight, finished well under vigorous riding to hold on to minor placing.",2016-12-07,7
5,5,WIN IT  (P032),K C Leung,CP,"Jumped OK, unable to match early paced dropped behind midfield first turn. Improved position back straight to get within range 200m before flattened 100m.",2016-12-07,7
6,6,GREAT TOPLIGHT  (T031),Z Purton,TT,"Snagged back soon after start and taken to rail in last place 1500m. Uncreased tempo back straight, took inside run on straightening but only one-paced final 200m.",2016-12-07,7
7,8,GRACEFUL KINGDOM  (P145),G Lerena,V,"Jumped well, ridden to obtain forward position but crowded out 1450m and dropped to behind midfield. Shaken up turning for home, made some gain early straight turning one-paced 200m.",2016-12-07,7
8,9,PENNY LANE  (P021),P Smullen,V/TT,"Began best, led initially before headed 1450m. Urged forward again to eye-ball leader back stretch as pace increased, took over lead passing 400m but spent force soon after and faded.",2016-12-07,7
9,11,FUNNY BUDDIES  (T300),K Tosaki,--,"Hard ridden from outside draw to go forward, taking first turn 3-wide before settling 3L from leader back stretch. Dropped further back when pace hotted up 600m. Found little in straight.",2016-12-07,7
10,3,GO-GETTER  (S303),D Whyte,--,"Bumped start, no pace, dropping to rear in one-off position. Stayed on rail around turn but founding nothing in straight despite hard riding.",2016-12-07,7
11,7,BOSSIEE  (S405),M Barzalona,H/TT,"Began well, pushed forward but 3-wde, settling ahead of midfield. Started run midway through back stretch but faded in straight.",2016-12-07,7
12,10,AEROLUMINANCE  (V213),J Moreira,B/TT,"Pressed forward from wide draw, taking lead passing 1450m and crossing to fence 1380m. Harassed up front by other runner from 1200m to 400m when had enough and finished tailed out. Unacceptable performance.",2016-12-07,7
1,7,BIG BANG BONG  (V186),K Tosaki,--,"Sat in 2nd about 3Ls away from runaway leader, quickened to lead inside 200M, kept on well to score.",2016-12-07,8
2,8,VARA PEARL  (S138),Z Purton,SR,"Reserved near last, 8Ls off the pace making home turn, closed off fastest down outside, nearest finish.",2016-12-07,8
3,5,CHEERFUL BOY  (V019),D Whyte,B/TT,"Crossed to the lead 1400M, raced keenly and opened up 3-4Ls lead middle stages, caught by winner near 200M, faded and lost 2nd late.",2016-12-07,8
4,3,BEAUTY PRINCE  (T411),R Moore,H/XB,"Dropped back to near the rear, 6-7Ls off the pace at 400M, ran on well down the rail, just missed 3rd.",2016-12-07,8
5,9,CHOICE TREASURE  (N436),J Moreira,--,"Settled down 2-wide in mid-division, driven out 500M, loomed a chance mid-straight but couldn't reel in the leaders.",2016-12-07,8
6,10,PEARL WARM WARM  (T183),M Barzalona,--,"In 4th position, 4Ls to make up on runaway leader at 400M, tried hard but effort leveled off passing 150M.",2016-12-07,8
7,2,BULLISH SMART  (S221),M Demuro,B/TT,"Sent forward from wide barrier, in 3rd place along the 2-path, failed to make impression in the straight, just holding ground.",2016-12-07,8
