Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
5,11,CAPTAIN AMERICA  (P074),N Callan,B-/SR1,"Eased back to settle midfield, settled 5Ls behind the leader 2 wide with cover, despite suited by the fast sectionals, ran on fairly.",2015-01-01,3
6,6,SOLAR DRAGON  (P136),M L Yeung,CP,"Sent forward to occupy the box seat, harmed by the fast pace, kept on one pace until final furlong weakened.",2015-01-01,3
7,10,SWEET BEAN  (S205),C Y Ho,--,"At rear, settled 8Ls behind the leader 2 wide with cover, despite suited by the fast tempo, ran on fairly.",2015-01-01,3
8,2,CHANS DELIGHT  (P420),H W Lai,B-/TT,"Camped handy, travelled 2Ls off the leader 3 wide without cover, kept on until 250M weakened.",2015-01-01,3
9,7,GOLDWEAVER  (P072),C K Tong,P,"Ridden forward to take the fence and led at fast tempo, run ended 250M.",2015-01-01,3
10,3,MY CUP OVERFLOWS  (P378),O Doleuze,P1/TT,"Always at rear, settled 7.5Ls behind the leader on the fence, never ran on. (Rider reported the horse's tendency to lay out throughout the race)",2015-01-01,3
11,1,GOLDEN OSMANTHUS  (N245),B Prebble,B/TT,"Raced midfield, travelled 5Ls behind the leader 3 wide with cover, despite suited by the fast pace, no turn of foot.",2015-01-01,3
12,8,IDYLLIC WIND  (N139),D Whyte,--,"Eased to settle worse than midfield about 6Ls behind the leader 3 wide with cover, despite suited by the fast sectionals, made no impression in straight. (Questioned for disappointing performance)",2015-01-01,3
13,13,CHAMPION RANGER  (N279),T H So,CP,"Failed to muster despite ridden along, travelled 5Ls behind the leader on the fence, never ran on.",2015-01-01,3
14,9,DIAMOND ANGEL  (M212),W M Lai,P-/TT,"Raced midfield, however trapped 4 wide without cover throughout, never looked likely.",2015-01-01,3
1,1,WHY WHY  (P372),U Rispoli,B,"Moderate break, mustered to sit close 2nd on rail, rolled to lead 400m, shaken up 350m, kept on determinedly & always in command.",2015-01-01,4
2,11,JOYEUX  (S340),C Y Ho,H/P/TT,"Led from gate, soon headed & trapped 3 wide no cover in 3rd, ridden 430m & progress to 2nd 320m, boxed on in pursuit but always held.",2015-01-01,4
3,5,JOLLY SPRING  (P395),N Callan,B-/SR1,"Broke well, sat rail midfield, shifted out home turn, not clear run until switched & shaken up 300m, one-paced & battled to claim 3rd.",2015-01-01,4
4,8,AMBITIOUS SPEEDY  (T063),H W Lai,--,"Tardy start, pushed forward to race 4th 1 off with cover, under pump on inner 500m, kept on evenly.",2015-01-01,4
5,4,JOYFUL MOMENTS  (T134),O Doleuze,--,"Taken back at break, over-raced 3 wide no cover midfield, driven turning in, plugged on dourly.",2015-01-01,4
6,9,ATHENA BABY  (S449),N Rawiller,--,"Taken back from wide, sat rail last pair, ridden at tail 450m, boxed on for minor late headway.",2015-01-01,4
7,7,ALL MY GAIN  (T018),W M Lai,--,"Awkward start, over-raced midfield 1 off with cover, to rail 750m, driven into stretch & shifted out, lacked pace & plodded tamely.",2015-01-01,4
8,6,CANNY FRANCO  (P426),G Mosse,B,"Taken back from wide berth, camped last pair 1 off, taken widest home turn, driven 400m, one-paced.",2015-01-01,4
9,3,FOTOGENIC  (S114),D Whyte,H/B1/TT,"Slow start widest, slotted 1 off with cover near rear, shifted wide final turn & driven into stretch, one-paced in run to wire.",2015-01-01,4
10,2,TRENDY WORLD  (T025),T H So,--,"Moderate break, rolled to narrow lead 1080m, driven turning in & headed under pressure 400m, emptied 350m & wilted tamely.",2015-01-01,4
11,12,EVER SHINY  (S214),M L Yeung,SR,"Rousted from gate, outpaced & taken back to eventually sit rail near rear, over-raced 780m, hard-ridden final turn, struggled in run.",2015-01-01,4
12,10,SKY MATE  (S443),M Guyon,--,"Smart start, settled back in midfield 1 off with cover, niggled 600m, under pump 500m, outpaced & faded in run.",2015-01-01,4
1,2,CHARITY KINGDOM  (S278),G Mosse,XB,"Broke well, raced 3 wide with cover near tail, 4 wide progress from 800m, shaken up 430m, rattled home centre track to lead last stride.",2015-01-01,5
2,14,UNIQUE HAPPIEST  (S245),C Y Ho,P-/E1/PC1,"Broke well & prominent, settled 1 back on rail, niggled 600m, under pump 500m, shifted out in stretch, grinding run to lead 100m, headed last stride.",2015-01-01,5
3,1,SUNNY PEARL  (N434),M Chadwick,XB/TT,"Fair break, edged lead 1300m, 1L clear & to rail 1000m, extended early in stretch, shaken up 300m, soon all out, tapered & headed 100m.",2015-01-01,5
4,7,TONES  (S383),N Callan,B1,"Broke with others, soon restrained to 1 off no cover 3rd, over-raced 1030m, settled 1 off 1 back at 850m, niggled 600m, driven 430m, stayed on dourly.",2015-01-01,5
5,13,SPARKLING SWORD  (P256),U Rispoli,H/TT,"Smart start to race prominently 3 wide no cover, rolled 1000m to press lead 1 off, driven turning in, outpaced but battled dourly to wire.",2015-01-01,5
6,4,ISLAND GARDEN  (P247),B Prebble,B/TT,"Broke OK, raced rail midfield, driven 430m, shifted out 400m, boxed on dourly.",2015-01-01,5
7,12,PLAIN BLUE BANNER  (S070),D Whyte,B,"Good break, settled back 3 wide with cover midfield, wide turning in & driven 400m, plugged on evenly centre track.",2015-01-01,5
8,6,ROUGE ET BLANC  (S353),N Rawiller,B/TT1,"Moderate start, raced 1 off with cover behind midfield, switched out & hard-ridden home turn, unbalanced 400m, stayed on for minor late headway.",2015-01-01,5
9,3,WINNING MASCOT  (CL342),T H So,--,"Lacked early pace & bustled, slotted rail behind midfield, niggled 650m, driven home turn, plugged on evenly.",2015-01-01,5
10,8,MAGICAL BEAM  (N208),M L Yeung,--,"Taken back from widest gate, soon to rail at tail, off rail & last turning in, driven 400m, plugged on past beaten rivals.",2015-01-01,5
11,5,LUCKY DAN  (P275),C K Tong,H,"Broke well, soon trapped wide midfield, rapid progress 900m to race wide no cover in 3rd, driven 500m, fading when wandered under pressure 300m.",2015-01-01,5
12,9,GRASSLAND DRAGON  (S201),M Guyon,XB-/H/SR1,"Tardy start, taken back to race wide with cover at tail, advanced a spot 800m, driven widest home turn, plodded on tepidly.",2015-01-01,5
13,11,GOOD FRIENDS MAGIC  (N445),K C Leung,B1,"Fast break, snagged to sit midfield 1 off with cover, hard-ridden turning in, found nothing & weakened in run home.",2015-01-01,5
14,10,MEDIC SWORDSMAN  (P168),W M Lai,B,"Broke OK, trapped 5 deep no cover midfield, 4 wide 900m, shaken up 430m, soon struggled & faded out.",2015-01-01,5
1,7,HEALTH WISE  (P219),O Doleuze,B,"Settled behind midfield, not suited by the slow pace, demonstrated strong finishing efforts to score.",2015-01-01,6
2,13,WINNING NOVEL  (S228),K C Leung,B/TT,"Pressed forward, settled just off the leaders, benefited by the slow tempo, closed off strongly for 2nd.",2015-01-01,6
3,6,FIGHTING BOY  (P376),U Rispoli,B-,"Eased back, dashed strongly for 3rd despite not suited by the slow pace.",2015-01-01,6
4,8,RUGBY AMBASSADOR  (S314),M Guyon,XB,"Midfield, not suited by the slow tempo, little dash 300M.",2015-01-01,6
5,5,HEY CHEERS  (P115),C Y Ho,B/TT,"Pressed forward but trapped 3 wide, favoured by the slow sectionals, flattened in straight.",2015-01-01,6
6,1,REBORN TO WIN  (S132),N Callan,B,"Eased back, checked 400M, dashed well when clear despite not suited by the slow pace.",2015-01-01,6
7,9,BEAR-POP  (S321),D Whyte,H/SR/TT,"Midfield, trapped 3 wide, not suited by the slow tempo, just held ground.",2015-01-01,6
8,14,ENCHANTING DIAMOND  (S136),W M Lai,--,"At rear, harmed by the slow pace, little dash 200M.",2015-01-01,6
9,3,DASHING SUPER  (N348),T H So,--,"Pressed forward to take rail and shared the lead at advantageous slow sectionals, out of fuel in straight.",2015-01-01,6
10,11,REALLY THE BEST  (M188),H W Lai,TT,"Pushed to share lead 2 wide, benefited by the slow tempo, but soon weakened in straight.",2015-01-01,6
11,4,ELECTRONIC PHOENIX  (S343),N Rawiller,H,"Behind midfield and trapped 3 wide, harmed by the slow pace, lack turn of foot.",2015-01-01,6
12,10,SPIRIT SOARING  (N099),B Prebble,H/P/TT,"Box seat, held up badly behind weakening runners in straight, not tested.",2015-01-01,6
13,2,KEEN TACTICS  (N143),G Mosse,B/TT,"Very slow away, midfield on the fence, not suited by the slow pace, no progress.",2015-01-01,6
14,12,GO-GETTER  (S303),K Teetan,E/P,"Eased back, not suited by the slow tempo, never improved.",2015-01-01,6
1,3,SUPER TALENT  (S344),D Whyte,B,"Began well but allowed to drift 3-back from leader in one-off position. Peeled 4-wide entering straight, rolled forward to hit front 200m, gradually pulling away.",2015-01-01,7
2,1,ADDOLE  (S056),B Prebble,B/TT,"One of the first out but eased to sit one-back, one-off. Pressed forward entering straight to look a chance 300m, battled but unable match winner final stages.",2015-01-01,7
3,8,TEN FLAMES  (S447),T H So,--,"Began fairly, hard ridden to hold rail behind leader. Closed in 400m but blocked for run until 200m when checked and switched out. Finished off nicely when clear.",2015-01-01,7
4,4,CALL ME ACHIEVER  (N134),U Rispoli,B-,Pressed forward from wide draw to sit outside leader on settling. Closed in top of straight to look a chance but unable to find extra.,2015-01-01,7
5,9,WINNER ST PAUL'S  (T027),M Guyon,SR1,"Began OK, gradually taken in from wide draw, dropping to last but still 3-wide entering turn. Widest into straight but closed off well.",2015-01-01,7
6,5,INNOVATIVE WINNER  (T060),O Doleuze,TT1,"Began OK, ridden along to hold rail two-back from leader. Closed in top of straight but no run till 300m when switched out. Kept on steadily.",2015-01-01,7
7,10,GREAT TOPLIGHT  (T031),C Y Ho,TT,"Began fairly, shifted across behind runners from wide draw to find the rail before turn. Checked 800m after which raced keenly. Kept on one-paced in straight.",2015-01-01,7
8,11,STAND BY YOU  (S095),K C Leung,H/B2/TT,"Began fairly, ridden along but failed to muster dropping to near last at 800m. Found little under the whip in straight.",2015-01-01,7
9,2,JOYFUL THE GREAT  (N407),H W Lai,CP,"Pressed forward to lead on settling, set steady pace to 200m when collared, kept on one-paced.",2015-01-01,7
10,12,CHINA POWER  (M400),M Chadwick,B/XB/TT,Ridden along early but held three-wide behind midfield. Covered extra ground turn and one-paced in straight.,2015-01-01,7
11,6,ISLAND FLYER  (S423),N Callan,--,"Ridden to hold position in midfield but held wide without cover. Wide into straight, faded.",2015-01-01,7
TNP,7,MASTER MIND  (S433),G Mosse,TT1,Reared and stayed in box after gates opened. Took no part but ruled a starter.,2015-01-01,7
1,5,DANE PATROL  (CL078),K C Leung,--,"Soon led, travelled well along the stands' rail, driven out 350M and quickened clear, was strongly challenged by runner up late stages but found the necessary to hold on.",2015-01-01,8
2,4,COUNTRY MELODY  (T011),K Teetan,H,"Settled 3Ls behind leader on the outside of field, quickened to go 2nd 300M, lay out under pressure final 200M, pushed winner all the way to the line, nearest finish.",2015-01-01,8
3,10,TOUCH GO  (CL254),H W Lai,--,"Held up near last towards the outside of the field, stayed on evenly under pressure, went 3rd 100M but made no impression on first two.",2015-01-01,8
4,8,NO MONEY NO TALK  (S404),C Y Ho,XB,"Travelled behind midfield 3Ls off the pace, badly held up for clear running until 200M, ran on well when clear, went 4th near 50M.",2015-01-01,8
5,13,YOU ARE THE ONE  (P015),U Rispoli,--,"Began awkwardly, tracked leader in 4th along the stands' rail, kept on steadily passing 400M but unable to match finishing pace of first two, faded to 5th final stages.",2015-01-01,8
6,7,DASHING CERAMIBO  (T121),N Callan,B-/TT,"In mid-division 2-3Ls off the pace, had difficulty obtaining clear running for some distance inside 400M, stayed on for non-threatening 6th.",2015-01-01,8
7,11,GRIMMY  (P079),W M Lai,--,"Settled 2-3Ls behind leader towards the outer of field, couldn't match finishing pace of leaders passing 400M, kept on same pace to line.",2015-01-01,8
8,14,ORACLE  (N115),T H So,B/TT,"Slow to begin, travelled along the stands' rail in a midfield position, stayed on fairly over final 400M, no significant progress.",2015-01-01,8
9,9,MASTER PINNACLE  (S351),M Guyon,B/TT,"At the rear of the field 5Ls behind leaders, kept on same pace when taken out to center of track passing halfway mark, never a serious threat.",2015-01-01,8
10,3,WINDICATOR STAR  (N233),C K Tong,TT,"Began awkwardly, held up towards the rear but not far off from pace, checked 350M, shifted back to the stands' rail for run, stayed on without threat to leaders.",2015-01-01,8
11,1,ROMAN LEGEND  (P301),M Chadwick,CP/TT,"Always in firing line, failed to pick up under pressure inside 400M, faded passing 250M, steadied close home.",2015-01-01,8
12,6,FREE NOVEMBER  (T123),O Doleuze,SR,"Ridden forward to take up a forward position, off the bridle 500M, lay in under pressure, badly hampered 200M but already a beaten horse.",2015-01-01,8
13,2,HAPPY BAO BEI  (S172),N Rawiller,H,"In touch, came under serious pressure halfway, soon beaten.",2015-01-01,8
14,12,SUGAR  (P047),M L Yeung,--,"Never far off from the pace, driven midway but not quickened, checked 350M and again near 200M, eased towards the line. (Blood in trachea)",2015-01-01,8
1,5,REWARDING HERO  (N376),N Callan,H/XB,"Shifted across behind runners from wide draw and last on settling. Still last entering straight, switched widest, gradually wore down leaders to win on the line.",2015-01-01,9
2,8,ALL YOU WISH  (P031),D Whyte,TT,"Began fairly, ridden along but wide back stretch. Covered extra ground turn, wide into straight, pressed forward gradually overhauling leader but pipped on post.",2015-01-01,9
3,4,BEAUTY FLAME  (S117),G Mosse,TT,"First out, crossed to rail and set good pace. Tried to kick clear top of straight, holding narrow lead until swamped last stride.",2015-01-01,9
4,7,TOUR DE FORCE  (N297),O Doleuze,B,"Began awkwardly, crowded for room 1150m, crowded and checked 1000m, dropping three-back in one off position. Blocked for run entering straight but finished nicely when clear 150m.",2015-01-01,9
5,9,SUPER LIFELINE  (P158),H W Lai,--,"Began well, ridden along to hold rail behind leader. Looked a chance when rolled forward top of straight but flattened 100m out.",2015-01-01,9
6,3,FREDERICK ENGELS  (N187),K Teetan,TT,Jumped OK and quickly taken to fence 3-back from leader. Asked for effort soon after straightening and kept on steadily without looking dangerous.,2015-01-01,9
7,1,STERLING CITY  (N152),U Rispoli,TT-,Began well but outpaced and slipped back to near last in one-off position. Switched wide entering straight and kept on fairly.,2015-01-01,9
8,10,WONDERFUL MOMENTS  (P346),M Chadwick,B,Pressed forward from wide draw to sit outside leader. Bumped and unbalanced 500m dropping to third. Weakened gradually in straight.,2015-01-01,9
9,2,FLAGSHIP SHINE  (P104),N Rawiller,CP,"Pressed forward, settling one-back, one-off but wide without cover from 1000m. Started to give ground soon after straightening for home.",2015-01-01,9
1,7,OVETT  (P351),U Rispoli,SR/TT,"Began well, raced 2 wide, 2 lengths or so back in 4th, same position on turn, finished off well in straight to score by a neck.",2015-01-01,10
2,12,WORLD CITY  (S019),M Chadwick,TT1,"Moderately away, positioned 2 wide, 4 lengths back in midfield, still there on turn, no clear running until near 200M, finished off strongly thereafter to get 2nd.",2015-01-01,10
3,6,DA VINCI  (S360),O Doleuze,B1/TT1,"Slightly slowly away, recovered, raced a length behind the leader on rail, easy run on turn, took the lead near 200M, but unable to hold off other rivals closing stages.",2015-01-01,10
4,5,CHEEKY TOO  (T152),N Rawiller,--,"Jumped with them, raced 2 wide, 6 lengths back behind midfield, similar position turning, finished off well in straight to make frame, just missed 3rd.",2015-01-01,10
5,10,LET ME DO  (S316),M Guyon,CP/TT1,"Taken back from a wide draw, raced 2 wide, 8 lengths back at rear, still well back on turn, taken widest in straight and made good progress to be nearest on line.",2015-01-01,10
6,1,SILLY BUDDIES  (S054),K Teetan,--,"Began well from the widest gate, unable to slot in, raced 3wide and without cover in midfield, 3 lengths back, same position turning, stayed on evenly in straight.",2015-01-01,10
7,2,GORGEOUS DEBUT  (P369),D Whyte,--,"Jumped well from a tricky gate, sent forward to take the lead, easy lead on turn, stayed on evenly until headed near 250M, weakened gradually thereafter.",2015-01-01,10
8,11,FUN TAPESTRY  (P443),C K Tong,TT,"Taken back from gate 10, raced at tail throughout, checked off heels 150M, made good progress thereafter to be nearest on line.",2015-01-01,10
9,8,CALIFORNIA CHERISH  (T101),C Y Ho,TT1,"Slightly slowly away, raced 5 lengths back on rail behind midfield, saved ground on turn, failed to close off in straight.",2015-01-01,10
10,3,CHOICE TREASURE  (N436),M L Yeung,B,"Slightly slow out, raced 7 lengths back on rail at rear, got head up near 750M, awkwardly placed near 600M, steadied early in straight and got traffic final 100M, not ridden out.",2015-01-01,10
11,4,FLYING TOURBILLON  (T051),N Callan,--,"Began well, raced 3 lengths back on rail in midfield, easy run on turn, failed to close off in straight.",2015-01-01,10
12,9,SUPER ABUNDANTE  (S004),K C Leung,P,"Jumped well, raced a length back in 2nd, difficult to settle after 900M, still in 2nd on turn, showed no response in straight and dropped off gradually. (Bled from both nostrils)",2015-01-01,10
1,7,CELESTIAL SMILE  (S013),U Rispoli,B,"Moderately away, raced a length or so back in 3rd, easy run on turn, finished off well in straight to score.",2015-01-01,11
2,8,ISHVARA  (S015),D Whyte,B/TT,"Jumped with them, positioned 2 wide in 5th, 2 to 3 lengths back, angled out turning in, closed off well to get 2nd.",2015-01-01,11
3,6,WINNING INSTINCT  (N121),G Mosse,B,"Began well from a wide draw, raced 3 wide with cover at rear, 5-6 lengths back, still 3 wide turning, finished off very strongly to get 3rd.",2015-01-01,11
4,3,HAPPY JOURNEY  (S299),B Prebble,--,"Jumped well, positioned 2 wide in midfield, 5 lengths back, angled out turning in, finished well in straight to make frame.",2015-01-01,11
5,9,VERDANE  (P184),N Rawiller,B,"Taken back from a wide draw, raced with cover at rear, 8 lengths back, slightly improved on turn, made reasonable progress in straight without threatening the first few.",2015-01-01,11
6,12,KIROV  (S277),C Y Ho,--,"Average to begin, raced 2 wide in 4th, 2 lengths back, difficult to settle near 1200M, angled out turning in, made minor progress early in straight, peaked near 200M, weakened gradually thereafter.",2015-01-01,11
7,11,WHY NOT  (N053),M L Yeung,TT,"Began with them, raced 2-3 lengths back in midfield, saved ground on turn, kept to inside after straightening, bumped near 100M, finished off evenly.",2015-01-01,11
8,4,BRIGHT STRIKE  (S195),N Callan,--,"Jumped well from gate 10, raced 3 wide with cover in midfield, 3 to 4 lengths back, same position turning, finished off one-paced in straight.",2015-01-01,11
9,1,DR GOOD HABIT  (N300),K Teetan,TT1,"Jumped well from a wide draw, raced prominently in 2nd, next to the leader, took the lead turning in, but failed to quickened thereafter, and weakened gradually.",2015-01-01,11
10,10,ENTRUSTING  (S306),O Doleuze,B/H/TT,"Crowded out start, raced 2 wide at rear, 7 lengths back, similar position on turn, taken widest in straight and finished off one-paced.",2015-01-01,11
11,14,D'OR WONGCHOY  (P315),H W Lai,B,"Taken back from the widest draw, raced 10 lengths back at tail, still well back on turn, only passed a few tired runners in straight, never a threat.",2015-01-01,11
12,13,MEDIC MASTER  (S363),W M Lai,CP,"Crowded out start, no early speed and raced 8-9 lengths back at rear, similar margin back turning, failed to close off in straight.",2015-01-01,11
13,2,NONE OTHER  (S349),M Chadwick,TT,"Bumped start and became unbalanced, raced 5 lengths back on rail behind midfield, saved ground on turn, failed to close off in straight. (Lame left front the next day)",2015-01-01,11
14,5,WIRE TO WIRE  (S189),T H So,--,"Began well, showed early speed to take the lead, headed turning in, emptied early in straight and finished tailed out, unacceptable performance.",2015-01-01,11
Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,2015-01-01,12
Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,2015-01-01,13
1,12,TRILLION TREASURE  (P156),J Moreira,B,"Broke well, settled just off the pace on stands rails, switched in for a run passing the 400 metres, responded well to take command over 100 metres out, won easily.",2015-01-04,1
2,2,JOYFUL LUCK  (M223),M Guyon,B/TT,"Settled in midfield near the stands rails racing keenly in middle stages, made steady progress under pressure closing stages. (Blood in trachea)",2015-01-04,1
3,6,ISLAND SPRING  (CL238),U Rispoli,B/TT,"Soon dropped behind midfield despite ridden along, commenced move coming onto course proper, unable to sustain effort nearing finish.",2015-01-04,1
4,14,SHANGHAI PIONEER  (CL252),C Y Ho,CP-/B2,"Towards the rear on stands rails, shifted off the rails halfway out, improving when briefly baulked 100 metres out, ran on.",2015-01-04,1
5,9,COPY STAR  (P028),N Rawiller,H/PC,"Settled in last few near the centre of the track after beginning from a low draw, move slightly closer coming onto course proper, failed to quicken under pressure inside final 300 metres.",2015-01-04,1
6,1,XI YING MEN  (CL352),N Callan,P,"Driven to lead from a low draw crossing to the stands rails, came under pressure to maintain advantage coming onto course proper, but overhauled close to home.",2015-01-04,1
7,13,MASSIVE  (P331),K Teetan,XB,"Not far off in 4th, kept on at the one pace closing stages.",2015-01-04,1
8,10,LYRIC ACE  (S047),K C Leung,E-/CP,"Began from a low draw, worked his way across to join the leader on stands rails, disputed the lead to 200 metres, faded inside final 50 metres.",2015-01-04,1
9,3,SNOW SLIDER  (P438),H W Lai,TT,"Jumped moderately, travelled at the back nearer the centre of the track, made modest headway closing stages.",2015-01-04,1
10,4,ZACHARY  (N146),G Mosse,B/TT,"Settled in midfield without cover nearer the centre of the track, yielded ground inside final 200 metres.",2015-01-04,1
11,5,HAPPILY TIME  (S012),B Prebble,TT,"Gradually shifted across in forward of midfield without cover after beginning from the worst gate, dropped out tamely inside final 200 metres.",2015-01-04,1
12,7,CALIFORNIA ROCK  (S233),M Chadwick,B/H1/TT,"Broke well settling in midfield on stands rails, hung in and a difficult ride from halfway out dropping out. (Lame next day)",2015-01-04,1
13,8,NATURAL EIGHT  (S243),C K Tong,P2,"Jumped awkwardly losing ground, remained in last few most of way despite coming under pressure inside final 300 metres.",2015-01-04,1
14,11,LUCKY PIONEER  (S174),M L Yeung,B,Never a danger.,2015-01-04,1
1,7,TRIUMPHANT DRAGON  (P078),G Mosse,B,Raced along the rails at midfield. 2-3Ls down on straightening. Closed off well and ran down early leader final 50M.,2015-01-04,2
2,5,COOL PAL  (S035),N Callan,--,Niggled along and took the lead 1200M. Stayed on well after straightening but caught by winner inside final 50M.,2015-01-04,2
3,2,COLOURFUL PROFIT  (S123),J Moreira,H-/B1/TT,Box-seated nicely behind the lead. Kept on well in the straight and held on for a minor placing.,2015-01-04,2
4,13,GLAMOROUS RYDER  (S007),M L Yeung,B/TT,Settled 3-wide at midfield. Improved around the turn and was 3-wide among leaders turning in. Kept on steadily to make the frame.,2015-01-04,2
5,3,FOLLOW THE WIND  (M331),D Whyte,B2,Caught wide early and was allowed to stride forward. 2-wide behind leaders 1000M out. Held up for some distance after straightening. Switched out for daylight 250m and ran on fairly.,2015-01-04,2
6,10,ALLEY-OOP  (P379),T H So,B/TT,Towards the rear early and middle stages. Rallied and made up ground in the straight.,2015-01-04,2
7,4,GLOBAL FAME  (M335),O Doleuze,V/TT,Niggled along and raced along the rails behind midfield. 3-4Ls off the lead turning in and ran on same pace thereafter.,2015-01-04,2
8,14,HIGH SPEED METRO  (P293),M Chadwick,XB,Midfield early but allowed to stride forward 1400M. Outside leader 800M. Failed to keep pace on straightening and faded out of contention.,2015-01-04,2
9,6,FIERY PATROL  (M360),K C Leung,SR/B2,Behind the pace early stages. 3Ls off the lead making the turn. Took some time to quicken after straightening. Made up some late ground.,2015-01-04,2
10,12,ALL MY BENEFIT  (P073),W M Lai,B-/H/TT,Behind midfield. Towards rear making home turn and made up some ground in the straight.,2015-01-04,2
11,11,HEAR THE ROAR  (M152),M Guyon,XB,Trailed field until making a move wide at the turn. Ran on fairly in the straight.,2015-01-04,2
12,9,FOREST COLOURS  (P167),K Teetan,B,Settled in rear section. Took a wide turn home and ran on only fairly in the straight.,2015-01-04,2
13,1,ON THE WAY  (P433),B Prebble,TT-,Caught wide without cover midfield. Showed nothing in the home straight.,2015-01-04,2
14,8,YOU KNOW I WIN  (M361),H W Lai,P,"Settled 2-wide at midfield. Switched out 3-wide to improve 700M. Crowded 300M, dropped off and pulled up lame after race.",2015-01-04,2
