Letter,HorseName,Rating,URL
B,BINGO BABE,41,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K115
B,BEAUTIFUL WIN,40,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J250
B,BOOMBAYAH,40,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H307
B,BRILLIANT FIRE,39,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J441
B,BRAVE OF FRIENDS,35,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J382
B,BEAU GOSSE,19,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G389
B,BABIECA,,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K326
C,CHANCHENG GLORY,114,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H212
C,CAP FERRAT,105,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K021
C,COPARTNER PRANCE,103,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H408
C,CHILL CHIBI,97,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H109
C,CALIFORNIATOTALITY,94,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H418
C,CAPITAL DELIGHT,94,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H262
C,COLOURFUL EMPEROR,90,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H167
C,CHIU CHOW SPIRIT,89,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H175
C,C P BRAVE,86,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2020_E306
C,CALL ME GLORIOUS,84,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H410
C,COLOURFUL KING,84,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K227
C,CHATEAUNEUF,78,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J219
C,CAMBRIDGE,77,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K085
C,CRIMSON FLASH,77,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K173
C,CROSSBORDERPEGASUS,77,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K008
C,CALL ME TOPSEED,75,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K357
C,CHARMING LEGEND,74,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K127
C,CELESTIAL HERO,72,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K363
C,CIRCUIT GRAND SLAM,71,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K201
C,CASA OF HONOR,69,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K310
C,CALIFORNIA WAVES,67,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K477
C,CATCH ME IF U CAN,67,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K060
C,CHARITY GAIN,67,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H431
C,CHILL KAKA,67,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J486
C,CHILL BUDDY,65,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K469
C,CHING,65,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G380
C,CALIFORNIA BAY,64,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K364
C,CARROLL STREET,63,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D489
