Date,Course,RaceNumber,ComputedStartTime,Start_time,Race_datetime,temperature,humidity,rainfall
2010-03-06,ST,10,18:15:00,18:15:00,2010-03-06 18:15:00,24.0,,0.0
2010-03-10,HV,1,19:15:00,19:15:00,2010-03-10 19:15:00,24.0,,
2010-03-10,HV,2,19:50:00,19:50:00,2010-03-10 19:50:00,24.0,,
2010-03-10,HV,3,20:25:00,20:25:00,2010-03-10 20:25:00,24.0,,
2010-03-10,HV,4,21:00:00,21:00:00,2010-03-10 21:00:00,24.0,,
2010-03-10,HV,5,21:35:00,21:35:00,2010-03-10 21:35:00,24.0,,
2010-03-10,HV,6,22:10:00,22:10:00,2010-03-10 22:10:00,24.0,,
2010-03-10,HV,7,22:45:00,22:45:00,2010-03-10 22:45:00,24.0,,
2010-03-10,HV,8,23:20:00,23:20:00,2010-03-10 23:20:00,24.0,,
2010-03-14,ST,1,13:00:00,13:00:00,2010-03-14 13:00:00,24.0,,0.0
2010-03-14,ST,2,13:35:00,13:35:00,2010-03-14 13:35:00,24.0,,0.0
2010-03-14,ST,3,14:10:00,14:10:00,2010-03-14 14:10:00,24.0,,0.0
2010-03-14,ST,4,14:45:00,14:45:00,2010-03-14 14:45:00,24.0,,0.0
2010-03-14,ST,5,15:20:00,15:20:00,2010-03-14 15:20:00,24.0,,0.0
2010-03-14,ST,6,15:55:00,15:55:00,2010-03-14 15:55:00,24.0,,0.0
2010-03-14,ST,7,16:30:00,16:30:00,2010-03-14 16:30:00,24.0,,0.0
2010-03-14,ST,8,17:05:00,17:05:00,2010-03-14 17:05:00,24.0,,0.0
2010-03-14,ST,9,17:40:00,17:40:00,2010-03-14 17:40:00,24.0,,0.0
2010-03-14,ST,10,18:15:00,18:15:00,2010-03-14 18:15:00,24.0,,0.0
2010-03-17,HV,1,19:15:00,19:15:00,2010-03-17 19:15:00,24.0,,
2010-03-17,HV,2,19:50:00,19:50:00,2010-03-17 19:50:00,24.0,,
2010-03-17,HV,3,20:25:00,20:25:00,2010-03-17 20:25:00,24.0,,
2010-03-17,HV,4,21:00:00,21:00:00,2010-03-17 21:00:00,24.0,,
2010-03-17,HV,5,21:35:00,21:35:00,2010-03-17 21:35:00,24.0,,
2010-03-17,HV,6,22:10:00,22:10:00,2010-03-17 22:10:00,24.0,,
2010-03-17,HV,7,22:45:00,22:45:00,2010-03-17 22:45:00,24.0,,
2010-03-17,HV,8,23:20:00,23:20:00,2010-03-17 23:20:00,24.0,,
2010-03-21,ST,1,13:00:00,13:00:00,2010-03-21 13:00:00,24.0,,0.0
2010-03-21,ST,2,13:35:00,13:35:00,2010-03-21 13:35:00,24.0,,0.0
2010-03-21,ST,3,14:10:00,14:10:00,2010-03-21 14:10:00,24.0,,0.0
2010-03-21,ST,4,14:45:00,14:45:00,2010-03-21 14:45:00,24.0,,0.0
2010-03-21,ST,5,15:20:00,15:20:00,2010-03-21 15:20:00,24.0,,0.0
2010-03-21,ST,6,15:55:00,15:55:00,2010-03-21 15:55:00,24.0,,0.0
2010-03-21,ST,7,16:30:00,16:30:00,2010-03-21 16:30:00,24.0,,0.0
2010-03-21,ST,8,17:05:00,17:05:00,2010-03-21 17:05:00,24.0,,0.0
2010-03-21,ST,9,17:40:00,17:40:00,2010-03-21 17:40:00,24.0,,0.0
2010-03-21,ST,10,18:15:00,18:15:00,2010-03-21 18:15:00,24.0,,0.0
2010-03-24,ST,1,19:15:00,19:15:00,2010-03-24 19:15:00,24.0,,0.0
2010-03-24,ST,2,19:50:00,19:50:00,2010-03-24 19:50:00,24.0,,0.0
2010-03-24,ST,3,20:25:00,20:25:00,2010-03-24 20:25:00,24.0,,0.0
2010-03-24,ST,4,21:00:00,21:00:00,2010-03-24 21:00:00,24.0,,0.0
2010-03-24,ST,5,21:35:00,21:35:00,2010-03-24 21:35:00,24.0,,0.0
2010-03-24,ST,6,22:10:00,22:10:00,2010-03-24 22:10:00,24.0,,0.0
2010-03-24,ST,7,22:45:00,22:45:00,2010-03-24 22:45:00,24.0,,0.0
2010-03-24,ST,8,23:20:00,23:20:00,2010-03-24 23:20:00,24.0,,0.0
2010-03-28,ST,1,13:00:00,13:00:00,2010-03-28 13:00:00,24.0,,0.0
2010-03-28,ST,2,13:35:00,13:35:00,2010-03-28 13:35:00,24.0,,0.0
2010-03-28,ST,3,14:10:00,14:10:00,2010-03-28 14:10:00,24.0,,0.0
2010-03-28,ST,4,14:45:00,14:45:00,2010-03-28 14:45:00,24.0,,0.0
2010-03-28,ST,5,15:20:00,15:20:00,2010-03-28 15:20:00,24.0,,0.0
2010-03-28,ST,6,15:55:00,15:55:00,2010-03-28 15:55:00,24.0,,0.0
2010-03-28,ST,7,16:30:00,16:30:00,2010-03-28 16:30:00,24.0,,0.0
2010-03-28,ST,8,17:05:00,17:05:00,2010-03-28 17:05:00,24.0,,0.0
2010-03-28,ST,9,17:40:00,17:40:00,2010-03-28 17:40:00,24.0,,0.0
2010-03-28,ST,10,18:15:00,18:15:00,2010-03-28 18:15:00,24.0,,0.0
2010-03-31,HV,1,19:15:00,19:15:00,2010-03-31 19:15:00,24.0,,
2010-03-31,HV,2,19:50:00,19:50:00,2010-03-31 19:50:00,24.0,,
