Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,Unnamed: 16,Unnamed: 17,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15,RACE 5 (275),RACE 5 (275).1,RACE 5 (275).2,RACE 5 (275).3,RACE 5 (275).4,RACE 5 (275).5,RACE 5 (275).6,RACE 5 (275).7,RACE 5 (275).8,RACE 5 (275).9,RACE 5 (275).10,RACE 5 (275).11,RACE 5 (275).12,RACE 5 (275).13,RACE 5 (275).14,RACE 5 (275).15
3,1.0,BEAUTY FIT (E279),J Moreira,J Size,133.0,1177,1,1-1/2,8 7 6 3,1:38.36,4.4,2022/04/16,ST,6,Class 3,1650M,85-60,GOOD,ALL WEATHER TRACK,28.52,51.52,1:14.72,1:38.12,,,28.52,23.00,23.20,23.40,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.0,ROMANTIC COMBO (D271),H Bentley,C S Shum,117.0,1128,6,2-1/2,2 2 2 4,1:38.52,20.0,2022/04/16,ST,6,Class 3,1650M,85-60,GOOD,ALL WEATHER TRACK,28.52,51.52,1:14.72,1:38.12,,,28.52,23.00,23.20,23.40,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9.0,SKYEY SUPREME (C293),C Wong,K W Lui,109.0,1164,7,3,1 1 1 5,1:38.61,21.0,2022/04/16,ST,6,Class 3,1650M,85-60,GOOD,ALL WEATHER TRACK,28.52,51.52,1:14.72,1:38.12,,,28.52,23.00,23.20,23.40,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,PARTY EVERYDAY (C414),A Badel,A S Cruz,118.0,1138,10,3-1/4,11 11 11 6,1:38.64,20.0,2022/04/16,ST,6,Class 3,1650M,85-60,GOOD,ALL WEATHER TRACK,28.52,51.52,1:14.72,1:38.12,,,28.52,23.00,23.20,23.40,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3.0,TURIN REDSTAR (B092),L Hewitson,D J Whyte,123.0,1180,9,5-1/4,9 9 7 7,1:38.96,13.0,2022/04/16,ST,6,Class 3,1650M,85-60,GOOD,ALL WEATHER TRACK,28.52,51.52,1:14.72,1:38.12,,,28.52,23.00,23.20,23.40,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11.0,HAPPY ANGEL (G133),H W Lai,D A Hayes,113.0,1102,8,5-1/4,10 10 9 8,1:38.97,68.0,2022/04/16,ST,6,Class 3,1650M,85-60,GOOD,ALL WEATHER TRACK,28.52,51.52,1:14.72,1:38.12,,,28.52,23.00,23.20,23.40,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,A LA KING (E147),M L Yeung,K H Ting,113.0,1152,11,6-3/4,3 3 4 9,1:39.21,25.0,2022/04/16,ST,6,Class 3,1650M,85-60,GOOD,ALL WEATHER TRACK,28.52,51.52,1:14.72,1:38.12,,,28.52,23.00,23.20,23.40,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.0,LEAP OF FAITH (C386),Z Purton,J Size,124.0,1115,5,7,7 8 8 10,1:39.24,10.0,2022/04/16,ST,6,Class 3,1650M,85-60,GOOD,ALL WEATHER TRACK,28.52,51.52,1:14.72,1:38.12,,,28.52,23.00,23.20,23.40,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7.0,INFINITE POWER (D014),M F Poon,F C Lor,115.0,1133,4,9-3/4,6 6 10 11,1:39.67,6.2,2022/04/16,ST,6,Class 3,1650M,85-60,GOOD,ALL WEATHER TRACK,28.52,51.52,1:14.72,1:38.12,,,28.52,23.00,23.20,23.40,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,RUN RUN COOL (E322),Z Purton,F C Lor,129.0,1211,7,-,6 2 1,0:56.38,3.5,2022/04/16,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.08,33.88,56.38,,,,13.08,20.80,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,FLYING SEASON (G157),C L Chau,K L Man,128.0,1193,9,2-1/4,3 1 2,0:56.73,1.4,2022/04/16,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.08,33.88,56.38,,,,13.08,20.80,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9.0,POWER KOEPP (E301),A Badel,J Size,120.0,1078,10,2-1/4,8 7 3,0:56.73,28,2022/04/16,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.08,33.88,56.38,,,,13.08,20.80,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,HIGH RISE SOLDIER (C511),C Y Ho,K W Lui,127.0,1078,2,6,9 9 4,0:57.36,68,2022/04/16,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.08,33.88,56.38,,,,13.08,20.80,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7.0,RESOLUTE (D243),H T Mo,A T Millard,121.0,1187,8,8-1/4,10 10 5,0:57.70,37,2022/04/16,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.08,33.88,56.38,,,,13.08,20.80,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,EQUALETTA BLITZ (D385),L Hewitson,D J Whyte,124.0,1096,1,8-1/2,1 3 6,0:57.74,25,2022/04/16,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.08,33.88,56.38,,,,13.08,20.80,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3.0,PING HAI GALAXY (C377),V Borges,J Size,128.0,1102,5,10,7 8 7,0:57.97,60,2022/04/16,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.08,33.88,56.38,,,,13.08,20.80,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.0,TRADER (E287),L Currie,D A Hayes,126.0,1169,4,11-1/4,5 5 8,0:58.16,34,2022/04/16,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.08,33.88,56.38,,,,13.08,20.80,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11.0,UNITED WE STAND (D048),K C Leung,P O'Sullivan,119.0,1229,3,12,2 4 9,0:58.31,42,2022/04/16,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.08,33.88,56.38,,,,13.08,20.80,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,SAVVY DELIGHT (E386),J Moreira,J Size,118.0,1158,6,12-3/4,4 6 10,0:58.42,15,2022/04/16,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.08,33.88,56.38,,,,13.08,20.80,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,8.0,MR COLOURFUL (E350),M F Poon,A S Cruz,119.0,---,---,---,---,---,---,2022/04/16,ST,7,Class 3,1000M,80-60,GOOD,"TURF - ""C+3"" Course",13.08,33.88,56.38,,,,13.08,20.80,22.50,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9.0,BLOTTING PAPER (D043),Z Purton,R Gibson,121.0,1149,8,-,1 2 2 1,1:38.80,3.7,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6.0,HANDSOME TWELVE (E462),C L Chau,T P Yung,126.0,1131,13,3/4,11 11 9 2,1:38.93,11,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12.0,SUN OF MAKFI (D157),A Badel,D J Hall,116.0,1018,3,1-1/4,9 7 4 3,1:38.99,5.1,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.0,STEEL WIN (E111),M L Yeung,C W Chang,118.0,1121,1,2-1/4,3 5 6 4,1:39.17,15,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7.0,NIMBLE NIMBUS (E249),H Bentley,P F Yiu,128.0,1117,12,2-1/4,2 3 3 5,1:39.17,28,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8.0,UNITE SPIRIT (C494),B Shinn,W Y So,125.0,975,10,2-1/2,13 13 12 6,1:39.22,11,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11.0,LADY FIRST (B013),J Moreira,A S Cruz,116.0,1072,2,2-3/4,8 8 8 7,1:39.23,5.5,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,FAST PACE (C427),K H Chan,C Fownes,128.0,1203,6,3-3/4,4 6 7 8,1:39.41,19,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.0,AMAZING TEENS (E449),V Borges,J Size,131.0,1075,14,4,6 4 5 9,1:39.46,30,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13.0,JUBILATION (G029),H T Mo,L Ho,111.0,1043,9,6-3/4,12 12 13 10,1:39.88,184,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,14.0,MISTER ARM (D491),C Wong,Y S Tsui,108.0,1007,5,7,7 9 11 11,1:39.90,59,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3.0,LIFELINE VISION (E318),L Currie,D A Hayes,131.0,1104,7,7-1/4,10 10 10 12,1:39.97,33,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4.0,MISSION BRAVO (E383),K C Leung,K H Ting,131.0,1206,11,9,5 1 1 13,1:40.24,6.3,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV-A,5.0,STAR OF YUEN LONG (C303),C Y Ho,K L Man,131.0,---,---,---,---,---,---,2022/04/16,ST,8,Class 4,1650M,60-35,GOOD,ALL WEATHER TRACK,28.55,51.77,1:15.35,1:38.80,,,28.55,23.22,23.58,23.45,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,CAMPIONE (G235),M F Poon,A S Cruz,131.0,1098,12,-,1 1 1,1:08.18,11.0,2022/04/16,ST,9,Class 3,1200M,85-60,GOOD,ALL WEATHER TRACK,23.09,45.18,1:08.18,,,,23.09,22.09,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8.0,LIKE THAT (D328),K C Leung,F C Lor,120.0,1152,2,1-1/2,6 8 2,1:08.42,8.4,2022/04/16,ST,9,Class 3,1200M,85-60,GOOD,ALL WEATHER TRACK,23.09,45.18,1:08.18,,,,23.09,22.09,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12.0,FLYING DRAGON (E360),H Bentley,C H Yip,115.0,1205,8,1-3/4,5 5 3,1:08.45,11.0,2022/04/16,ST,9,Class 3,1200M,85-60,GOOD,ALL WEATHER TRACK,23.09,45.18,1:08.18,,,,23.09,22.09,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7.0,LIGHTNING BOLT (G130),J Moreira,C S Shum,123.0,1179,5,2-1/2,10 7 4,1:08.58,1.8,2022/04/16,ST,9,Class 3,1200M,85-60,GOOD,ALL WEATHER TRACK,23.09,45.18,1:08.18,,,,23.09,22.09,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.0,CALL ME TEDDY (G233),C Y Ho,C W Chang,118.0,1235,9,4,2 2 5,1:08.83,48.0,2022/04/16,ST,9,Class 3,1200M,85-60,GOOD,ALL WEATHER TRACK,23.09,45.18,1:08.18,,,,23.09,22.09,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4.0,DROPS OF GOD (E260),V Borges,J Size,130.0,1139,1,5,11 6 6,1:08.99,10.0,2022/04/16,ST,9,Class 3,1200M,85-60,GOOD,ALL WEATHER TRACK,23.09,45.18,1:08.18,,,,23.09,22.09,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11.0,MAGIC SUPREME (D144),R Maia,K L Man,117.0,1101,3,5-1/2,3 3 7,1:09.07,17.0,2022/04/16,ST,9,Class 3,1200M,85-60,GOOD,ALL WEATHER TRACK,23.09,45.18,1:08.18,,,,23.09,22.09,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6.0,MAN STAR (D429),L Hewitson,K H Ting,126.0,1129,4,5-1/2,8 9 8,1:09.07,45.0,2022/04/16,ST,9,Class 3,1200M,85-60,GOOD,ALL WEATHER TRACK,23.09,45.18,1:08.18,,,,23.09,22.09,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
