Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,Unnamed: 16,Unnamed: 17,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15
7,9.0,MASTER MONTARO (E142),C Y Ho,D A Hayes,121.0,1273,4,3-1/2,8 8 10 7,1:35.06,8.1,2021/03/21,ST,10,Class 2,1600M,100-80,GOOD,"TURF - ""A"" Course",24.79,48.10,1:11.52,1:34.49,,,24.79,23.31,23.42,22.97,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13.0,TIANCHI MONSTER (B350),C Wong,W Y So,114.0,1160,8,3-3/4,5 5 3 8,1:35.08,91.0,2021/03/21,ST,10,Class 2,1600M,100-80,GOOD,"TURF - ""A"" Course",24.79,48.10,1:11.52,1:34.49,,,24.79,23.31,23.42,22.97,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11.0,FLAGSHIP GLORY (E190),C Schofield,F C Lor,120.0,1109,14,3-3/4,10 11 13 9,1:35.09,3.4,2021/03/21,ST,10,Class 2,1600M,100-80,GOOD,"TURF - ""A"" Course",24.79,48.10,1:11.52,1:34.49,,,24.79,23.31,23.42,22.97,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12.0,SUPER FOOTBALL (D465),M Chadwick,K H Ting,119.0,1145,10,3-3/4,13 13 14 10,1:35.10,16.0,2021/03/21,ST,10,Class 2,1600M,100-80,GOOD,"TURF - ""A"" Course",24.79,48.10,1:11.52,1:34.49,,,24.79,23.31,23.42,22.97,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4.0,STAR SHINE (B163),K Teetan,K W Lui,130.0,1181,2,4-1/4,7 6 7 11,1:35.16,20.0,2021/03/21,ST,10,Class 2,1600M,100-80,GOOD,"TURF - ""A"" Course",24.79,48.10,1:11.52,1:34.49,,,24.79,23.31,23.42,22.97,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5.0,SUPER OASIS (D085),C L Chau,K W Lui,121.0,1150,5,5-1/4,6 7 6 12,1:35.33,19.0,2021/03/21,ST,10,Class 2,1600M,100-80,GOOD,"TURF - ""A"" Course",24.79,48.10,1:11.52,1:34.49,,,24.79,23.31,23.42,22.97,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10.0,REEL BIZZY (C138),H N Wong,C S Shum,118.0,1097,6,5-1/2,4 4 5 13,1:35.38,212.0,2021/03/21,ST,10,Class 2,1600M,100-80,GOOD,"TURF - ""A"" Course",24.79,48.10,1:11.52,1:34.49,,,24.79,23.31,23.42,22.97,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3.0,SOLAR WAI WAI (C111),M F Poon,F C Lor,128.0,1096,1,7,3 3 4 14,1:35.60,60.0,2021/03/21,ST,10,Class 2,1600M,100-80,GOOD,"TURF - ""A"" Course",24.79,48.10,1:11.52,1:34.49,,,24.79,23.31,23.42,22.97,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.0,FLYING MONKEY (T361),A Badel,T P Yung,113.0,1084,8,-,3 3 1,0:56.90,8.7,2021/03/24,HV,1,Class 5,1000M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",12.61,34.00,56.90,,,,12.61,21.39,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,WINNER'S HEART (D044),Z Purton,F C Lor,133.0,1204,1,1/2,4 4 2,0:56.98,4.2,2021/03/24,HV,1,Class 5,1000M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",12.61,34.00,56.90,,,,12.61,21.39,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,LITTLE THUNDER (C453),K Teetan,A T Millard,133.0,1126,5,1/2,7 7 3,0:56.99,7.3,2021/03/24,HV,1,Class 5,1000M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",12.61,34.00,56.90,,,,12.61,21.39,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.0,JOY AVENUE (C340),M F Poon,C H Yip,123.0,1241,11,1-1/2,8 9 4,0:57.15,13.0,2021/03/24,HV,1,Class 5,1000M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",12.61,34.00,56.90,,,,12.61,21.39,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12.0,WINNING WARRIOR (C185),V Borges,K L Man,114.0,1092,2,2,6 6 5,0:57.21,17.0,2021/03/24,HV,1,Class 5,1000M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",12.61,34.00,56.90,,,,12.61,21.39,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11.0,LUCKY VICTOR (C514),C Wong,K H Ting,108.0,1170,3,2-1/2,9 8 6,0:57.30,63.0,2021/03/24,HV,1,Class 5,1000M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",12.61,34.00,56.90,,,,12.61,21.39,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.0,FOR FUN'S SAKE (D242),M Chadwick,C Fownes,119.0,1069,9,2-1/2,11 10 7,0:57.32,25.0,2021/03/24,HV,1,Class 5,1000M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",12.61,34.00,56.90,,,,12.61,21.39,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.0,READY CONQUEROR (D204),C Y Ho,Y S Tsui,131.0,1053,4,2-1/2,5 5 8,0:57.32,8.8,2021/03/24,HV,1,Class 5,1000M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",12.61,34.00,56.90,,,,12.61,21.39,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7.0,VIVA MAMA (D408),K C Leung,L Ho,126.0,1220,10,3-1/4,2 1 9,0:57.40,4.1,2021/03/24,HV,1,Class 5,1000M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",12.61,34.00,56.90,,,,12.61,21.39,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3.0,AFTER ME (B300),C L Chau,D E Ferraris,125.0,1052,6,3-1/4,10 11 10,0:57.43,9.1,2021/03/24,HV,1,Class 5,1000M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",12.61,34.00,56.90,,,,12.61,21.39,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6.0,I'M THE CONQUIST (B155),H W Lai,P O'Sullivan,127.0,1082,7,7,12 12 11,0:58.03,88.0,2021/03/24,HV,1,Class 5,1000M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",12.61,34.00,56.90,,,,12.61,21.39,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4.0,DR EQ (C451),J Moreira,J Size,132.0,1069,12,17,1 2 12,0:59.63,15.0,2021/03/24,HV,1,Class 5,1000M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",12.61,34.00,56.90,,,,12.61,21.39,22.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11.0,PRESIDENT STAR (C170),Z Purton,C S Shum,123.0,1067,2,-,2 4 4 1,1:40.29,3.4,2021/03/24,HV,2,Class 5,1650M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",28.58,52.34,1:16.72,1:40.29,,,28.58,23.76,24.38,23.57,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12.0,NITRO EXPRESS (T353),J Moreira,D E Ferraris,122.0,1219,12,N,10 9 6 2,1:40.35,9.5,2021/03/24,HV,2,Class 5,1650M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",28.58,52.34,1:16.72,1:40.29,,,28.58,23.76,24.38,23.57,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8.0,VIRTUS STAR (B395),A Badel,F C Lor,126.0,1069,11,N,1 2 2 3,1:40.36,16.0,2021/03/24,HV,2,Class 5,1650M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",28.58,52.34,1:16.72,1:40.29,,,28.58,23.76,24.38,23.57,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9.0,WELL DRAGON (C539),T Piccone,W Y So,124.0,1164,8,3/4,4 1 1 4,1:40.40,45.0,2021/03/24,HV,2,Class 5,1650M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",28.58,52.34,1:16.72,1:40.29,,,28.58,23.76,24.38,23.57,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.0,TAILOR MADE (C522),C Y Ho,C Fownes,130.0,1049,1,2,5 5 7 5,1:40.61,3.2,2021/03/24,HV,2,Class 5,1650M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",28.58,52.34,1:16.72,1:40.29,,,28.58,23.76,24.38,23.57,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,WONDER EXPRESS (C224),C Schofield,K H Ting,129.0,1171,5,2-1/2,6 6 5 6,1:40.67,22.0,2021/03/24,HV,2,Class 5,1650M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",28.58,52.34,1:16.72,1:40.29,,,28.58,23.76,24.38,23.57,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0,DESTIN (V417),K Teetan,P O'Sullivan,132.0,1171,6,2-1/2,7 7 9 7,1:40.71,6.6,2021/03/24,HV,2,Class 5,1650M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",28.58,52.34,1:16.72,1:40.29,,,28.58,23.76,24.38,23.57,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10.0,GALAXY RACER (C245),M F Poon,R Gibson,121.0,1115,4,3-1/4,9 10 10 8,1:40.80,18.0,2021/03/24,HV,2,Class 5,1650M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",28.58,52.34,1:16.72,1:40.29,,,28.58,23.76,24.38,23.57,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.0,DIAMOND STAR (D017),B Shinn,J Size,131.0,1031,10,4-3/4,12 12 12 9,1:41.04,41.0,2021/03/24,HV,2,Class 5,1650M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",28.58,52.34,1:16.72,1:40.29,,,28.58,23.76,24.38,23.57,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3.0,BRAVE POWER (D153),C L Chau,A S Cruz,123.0,1155,3,4-3/4,8 8 8 10,1:41.05,7.3,2021/03/24,HV,2,Class 5,1650M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",28.58,52.34,1:16.72,1:40.29,,,28.58,23.76,24.38,23.57,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7.0,PRIME TIME (D011),R Maia,Y S Tsui,126.0,1114,9,6-1/4,3 3 3 11,1:41.30,109.0,2021/03/24,HV,2,Class 5,1650M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",28.58,52.34,1:16.72,1:40.29,,,28.58,23.76,24.38,23.57,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5.0,RUNNING GUY (C524),H N Wong,C W Chang,126.0,969,7,9,11 11 11 12,1:41.71,156.0,2021/03/24,HV,2,Class 5,1650M,40-0,GOOD TO FIRM,"TURF - ""C+3"" Course",28.58,52.34,1:16.72,1:40.29,,,28.58,23.76,24.38,23.57,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9.0,BULLETPROOF (D219),R Maia,P F Yiu,123.0,1036,10,-,8 8 9 1,1:39.70,9.9,2021/03/24,HV,3,Class 4,1650M,60-40,GOOD TO FIRM,"TURF - ""C+3"" Course",28.07,51.58,1:16.12,1:39.70,,,28.07,23.51,24.54,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,DREAM WARRIORS (C280),K Teetan,A S Cruz,131.0,1109,8,HD,10 10 7 2,1:39.73,8.3,2021/03/24,HV,3,Class 4,1650M,60-40,GOOD TO FIRM,"TURF - ""C+3"" Course",28.07,51.58,1:16.12,1:39.70,,,28.07,23.51,24.54,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12.0,ALL BEST FRIENDS (A217),H W Lai,K L Man,115.0,1080,12,1-1/4,5 5 4 3,1:39.89,42.0,2021/03/24,HV,3,Class 4,1650M,60-40,GOOD TO FIRM,"TURF - ""C+3"" Course",28.07,51.58,1:16.12,1:39.70,,,28.07,23.51,24.54,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.0,SAVVY KINGMAN (D416),J Moreira,F C Lor,122.0,1195,7,1-1/4,1 1 1 4,1:39.91,2.1,2021/03/24,HV,3,Class 4,1650M,60-40,GOOD TO FIRM,"TURF - ""C+3"" Course",28.07,51.58,1:16.12,1:39.70,,,28.07,23.51,24.54,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,OWNERS' STAR (B427),Z Purton,C S Shum,127.0,1104,5,1-3/4,3 4 5 5,1:39.97,5.0,2021/03/24,HV,3,Class 4,1650M,60-40,GOOD TO FIRM,"TURF - ""C+3"" Course",28.07,51.58,1:16.12,1:39.70,,,28.07,23.51,24.54,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5.0,WIND GLIDER (C433),K C Leung,P O'Sullivan,129.0,1185,1,2,4 3 3 6,1:40.03,23.0,2021/03/24,HV,3,Class 4,1650M,60-40,GOOD TO FIRM,"TURF - ""C+3"" Course",28.07,51.58,1:16.12,1:39.70,,,28.07,23.51,24.54,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,DIONYSUS COLLIN (B436),C Y Ho,K W Lui,124.0,1103,11,3-1/2,11 11 11 7,1:40.24,53.0,2021/03/24,HV,3,Class 4,1650M,60-40,GOOD TO FIRM,"TURF - ""C+3"" Course",28.07,51.58,1:16.12,1:39.70,,,28.07,23.51,24.54,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,ZHAN JIANG ROCKS (B406),C L Chau,W Y So,126.0,1067,4,3-1/2,9 9 10 8,1:40.25,5.6,2021/03/24,HV,3,Class 4,1650M,60-40,GOOD TO FIRM,"TURF - ""C+3"" Course",28.07,51.58,1:16.12,1:39.70,,,28.07,23.51,24.54,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7.0,HAPPY WIN WIN (C125),A Hamelin,C H Yip,126.0,1042,2,3-3/4,7 6 8 9,1:40.28,20.0,2021/03/24,HV,3,Class 4,1650M,60-40,GOOD TO FIRM,"TURF - ""C+3"" Course",28.07,51.58,1:16.12,1:39.70,,,28.07,23.51,24.54,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.0,MING WARRIOR (E128),N Callan,D E Ferraris,132.0,1135,3,4-1/2,6 7 6 10,1:40.43,128.0,2021/03/24,HV,3,Class 4,1650M,60-40,GOOD TO FIRM,"TURF - ""C+3"" Course",28.07,51.58,1:16.12,1:39.70,,,28.07,23.51,24.54,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11.0,AEROSONIC (D417),V Borges,J Size,119.0,1004,9,5-1/2,12 12 12 11,1:40.59,165.0,2021/03/24,HV,3,Class 4,1650M,60-40,GOOD TO FIRM,"TURF - ""C+3"" Course",28.07,51.58,1:16.12,1:39.70,,,28.07,23.51,24.54,23.58,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
