Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Running Position,Finish Time,Win Odds,Date,Course,RaceNumber,Race type,Distance,Score range,Going,Course Detail,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Sectional Time 1,Sectional Time 2,Sectional Time 3,Sectional Time 4,Sectional Time 5,Sectional Time 6,RACE 1 (0),RACE 1 (0).1,RACE 1 (0).2,RACE 1 (0).3,RACE 1 (0).4,RACE 1 (0).5,RACE 1 (0).6,RACE 1 (0).7,RACE 1 (0).8,RACE 1 (0).9,RACE 1 (0).10,RACE 1 (0).11,RACE 1 (0).12,RACE 1 (0).13,RACE 1 (0).14,RACE 1 (0).15,Unnamed: 16,Unnamed: 17,RACE 2 (0),RACE 2 (0).1,RACE 2 (0).2,RACE 2 (0).3,RACE 2 (0).4,RACE 2 (0).5,RACE 2 (0).6,RACE 2 (0).7,RACE 2 (0).8,RACE 2 (0).9,RACE 2 (0).10,RACE 2 (0).11,RACE 2 (0).12,RACE 2 (0).13,RACE 2 (0).14,RACE 2 (0).15,RACE 3 (0),RACE 3 (0).1,RACE 3 (0).2,RACE 3 (0).3,RACE 3 (0).4,RACE 3 (0).5,RACE 3 (0).6,RACE 3 (0).7,RACE 3 (0).8,RACE 3 (0).9,RACE 3 (0).10,RACE 3 (0).11,RACE 3 (0).12,RACE 3 (0).13,RACE 3 (0).14,RACE 3 (0).15,RACE 4 (0),RACE 4 (0).1,RACE 4 (0).2,RACE 4 (0).3,RACE 4 (0).4,RACE 4 (0).5,RACE 4 (0).6,RACE 4 (0).7,RACE 4 (0).8,RACE 4 (0).9,RACE 4 (0).10,RACE 4 (0).11,RACE 4 (0).12,RACE 4 (0).13,RACE 4 (0).14,RACE 4 (0).15,RACE 5 (0),RACE 5 (0).1,RACE 5 (0).2,RACE 5 (0).3,RACE 5 (0).4,RACE 5 (0).5,RACE 5 (0).6,RACE 5 (0).7,RACE 5 (0).8,RACE 5 (0).9,RACE 5 (0).10,RACE 5 (0).11,RACE 5 (0).12,RACE 5 (0).13,RACE 5 (0).14,RACE 5 (0).15,RACE 6 (0),RACE 6 (0).1,RACE 6 (0).2,RACE 6 (0).3,RACE 6 (0).4,RACE 6 (0).5,RACE 6 (0).6,RACE 6 (0).7,RACE 6 (0).8,RACE 6 (0).9,RACE 6 (0).10,RACE 6 (0).11,RACE 6 (0).12,RACE 6 (0).13,RACE 6 (0).14,RACE 6 (0).15,RACE 7 (0),RACE 7 (0).1,RACE 7 (0).2,RACE 7 (0).3,RACE 7 (0).4,RACE 7 (0).5,RACE 7 (0).6,RACE 7 (0).7,RACE 7 (0).8,RACE 7 (0).9,RACE 7 (0).10,RACE 7 (0).11,RACE 7 (0).12,RACE 7 (0).13,RACE 7 (0).14,RACE 7 (0).15,RACE 8 (0),RACE 8 (0).1,RACE 8 (0).2,RACE 8 (0).3,RACE 8 (0).4,RACE 8 (0).5,RACE 8 (0).6,RACE 8 (0).7,RACE 8 (0).8,RACE 8 (0).9,RACE 8 (0).10,RACE 8 (0).11,RACE 8 (0).12,RACE 8 (0).13,RACE 8 (0).14,RACE 8 (0).15
7,7.0,LUCKY QUALITY (D050),C Schofield,C Fownes,121.0,1071,9,4-1/4,10 10 7,1:10.23,27,2021/09/08,HV,8,Class 3,1200M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",23.85,46.53,1:09.53,,,,23.85,22.68,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12.0,TELECOM ROCKET (C137),K Teetan,Y S Tsui,115.0,1091,6,4-3/4,7 7 8,1:10.27,5.6,2021/09/08,HV,8,Class 3,1200M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",23.85,46.53,1:09.53,,,,23.85,22.68,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,VITRALITE (E121),C Y Ho,K W Lui,117.0,1031,12,5-3/4,9 8 9,1:10.44,129,2021/09/08,HV,8,Class 3,1200M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",23.85,46.53,1:09.53,,,,23.85,22.68,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5.0,GOOD HEALTH (E159),A Hamelin,D A Hayes,119.0,915,3,7-3/4,2 3 10,1:10.75,41,2021/09/08,HV,8,Class 3,1200M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",23.85,46.53,1:09.53,,,,23.85,22.68,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8.0,RHAPSODY (D120),J Moreira,J Size,118.0,1107,11,7-3/4,6 2 11,1:10.77,9.7,2021/09/08,HV,8,Class 3,1200M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",23.85,46.53,1:09.53,,,,23.85,22.68,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV-A,1.0,WINNING METHOD (C383),Z Purton,C S Shum,133.0,---,---,---,---,---,---,2021/09/08,HV,8,Class 3,1200M,80-60,GOOD TO FIRM,"TURF - ""B"" Course",23.85,46.53,1:09.53,,,,23.85,22.68,23.00,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.0,LIGHT MY DAY (C505),B Shinn,C H Yip,126.0,1244,12,-,1 1 1 1,1:34.46,10.0,2021/09/12,ST,1,Class 5,1600M,40-0,GOOD TO FIRM,"TURF - ""B"" Course",24.38,46.66,1:10.42,1:34.46,,,24.38,22.28,23.76,24.04,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,DAILY CHARM (D398),K Teetan,C S Shum,133.0,1091,10,1/2,10 9 7 2,1:34.57,11.0,2021/09/12,ST,1,Class 5,1600M,40-0,GOOD TO FIRM,"TURF - ""B"" Course",24.38,46.66,1:10.42,1:34.46,,,24.38,22.28,23.76,24.04,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11.0,RIGHTEOUS WIN (D146),H Bentley,P F Yiu,120.0,1102,8,2,7 6 6 3,1:34.77,12.0,2021/09/12,ST,1,Class 5,1600M,40-0,GOOD TO FIRM,"TURF - ""B"" Course",24.38,46.66,1:10.42,1:34.46,,,24.38,22.28,23.76,24.04,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2.0,SUPER HONG KONG (D241),H T Mo,A T Millard,130.0,1013,11,2,13 13 13 4,1:34.78,43.0,2021/09/12,ST,1,Class 5,1600M,40-0,GOOD TO FIRM,"TURF - ""B"" Course",24.38,46.66,1:10.42,1:34.46,,,24.38,22.28,23.76,24.04,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
